personnel_id,snapshot_date,synthetic_welfare_risk_score
P00030,2026-04-04,38.911
P00030,2026-05-04,32.77
P00030,2026-06-03,34.356
P00030,2026-07-03,36.018
P00030,2026-08-02,46.401
P00030,2026-09-01,46.9
P00031,2026-04-04,58.601
P00031,2026-05-04,60.439
P00031,2026-06-03,58.589
P00031,2026-07-03,68.754
P00031,2026-08-02,69.706
P00031,2026-09-01,62.017
P00032,2026-04-04,47.798
P00032,2026-05-04,52.911
P00032,2026-06-03,44.336
P00032,2026-07-03,55.929
P00032,2026-08-02,43.447
P00032,2026-09-01,51.112
P00033,2026-04-04,31.862
P00033,2026-05-04,47.866
P00033,2026-06-03,48.748
P00033,2026-07-03,29.535
P00033,2026-08-02,45.527
P00033,2026-09-01,44.641
P00034,2026-04-04,51.726
P00034,2026-05-04,51.989
P00034,2026-06-03,47.328
P00034,2026-07-03,54.635
P00034,2026-08-02,69.672
P00034,2026-09-01,60.412
P00035,2026-04-04,35.05
P00035,2026-05-04,24.194
P00035,2026-06-03,38.034
P00035,2026-07-03,44.23
P00035,2026-08-02,28.246
P00035,2026-09-01,27.433
P00036,2026-04-04,58.496
P00036,2026-05-04,57.23
P00036,2026-06-03,69.121
P00036,2026-07-03,61.71
P00036,2026-08-02,73.781
P00036,2026-09-01,67.674
P00037,2026-04-04,42.285
P00037,2026-05-04,27.88
P00037,2026-06-03,50.677
P00037,2026-07-03,53.88
P00037,2026-08-02,42.847
P00037,2026-09-01,45.691
P00038,2026-04-04,60.748
P00038,2026-05-04,53.618
P00038,2026-06-03,73.569
P00038,2026-07-03,70.028
P00038,2026-08-02,51.341
P00038,2026-09-01,50.362
P00039,2026-04-04,65.155
P00039,2026-05-04,69.037
P00039,2026-06-03,63.182
P00039,2026-07-03,64.347
P00039,2026-08-02,67.792
P00039,2026-09-01,65.632
P00040,2026-04-04,71.402
P00040,2026-05-04,69.055
P00040,2026-06-03,64.751
P00040,2026-07-03,68.41
P00040,2026-08-02,62.545
P00040,2026-09-01,66.012
P00041,2026-04-04,70.966
P00041,2026-05-04,57.992
P00041,2026-06-03,70.253
P00041,2026-07-03,59.372
P00041,2026-08-02,60.413
P00041,2026-09-01,66.385
P00042,2026-04-04,66.29
P00042,2026-05-04,47.184
P00042,2026-06-03,59.748
P00042,2026-07-03,65.688
P00042,2026-08-02,61.335
P00042,2026-09-01,57.696
P00043,2026-04-04,67.798
P00043,2026-05-04,76.517
P00043,2026-06-03,63.017
P00043,2026-07-03,64.33
P00043,2026-08-02,74.223
P00043,2026-09-01,67.755
P00044,2026-04-04,58.242
P00044,2026-05-04,47.638
P00044,2026-06-03,47.547
P00044,2026-07-03,53.059
P00044,2026-08-02,45.314
P00044,2026-09-01,60.647
P00045,2026-04-04,50.274
P00045,2026-05-04,54.095
P00045,2026-06-03,62.396
P00045,2026-07-03,54.607
P00045,2026-08-02,57.199
P00045,2026-09-01,57.355
P00046,2026-04-04,20.862
P00046,2026-05-04,14.995
P00046,2026-06-03,18.399
P00046,2026-07-03,14.088
P00046,2026-08-02,24.865
P00046,2026-09-01,10.624
P00047,2026-04-04,54.783
P00047,2026-05-04,51.354
P00047,2026-06-03,50.676
P00047,2026-07-03,50.136
P00047,2026-08-02,48.266
P00047,2026-09-01,44.751
P00048,2026-04-04,61.729
P00048,2026-05-04,80.044
P00048,2026-06-03,63.991
P00048,2026-07-03,60.775
P00048,2026-08-02,69.741
P00048,2026-09-01,67.225
P00049,2026-04-04,24.463
P00049,2026-05-04,19.639
P00049,2026-06-03,26.442
P00049,2026-07-03,30.106
P00049,2026-08-02,24.301
P00049,2026-09-01,34.995
P00050,2026-04-04,37.064
P00050,2026-05-04,40.38
P00050,2026-06-03,56.579
P00050,2026-07-03,45.43
P00050,2026-08-02,43.562
P00050,2026-09-01,53.428
P00051,2026-04-04,48.62
P00051,2026-05-04,51.169
P00051,2026-06-03,52.395
P00051,2026-07-03,58.53
P00051,2026-08-02,51.83
P00051,2026-09-01,61.878
P00052,2026-04-04,76.54
P00052,2026-05-04,63.444
P00052,2026-06-03,57.848
P00052,2026-07-03,64.321
P00052,2026-08-02,64.801
P00052,2026-09-01,70.899
P00053,2026-04-04,34.195
P00053,2026-05-04,30.059
P00053,2026-06-03,30.847
P00053,2026-07-03,32.932
P00053,2026-08-02,47.174
P00053,2026-09-01,38.936
P00054,2026-04-04,52.546
P00054,2026-05-04,52.736
P00054,2026-06-03,63.387
P00054,2026-07-03,47.806
P00054,2026-08-02,45.211
P00054,2026-09-01,46.821
P00055,2026-04-04,67.236
P00055,2026-05-04,60.918
P00055,2026-06-03,56.824
P00055,2026-07-03,57.335
P00055,2026-08-02,53.565
P00055,2026-09-01,56.239
P00056,2026-04-04,47.063
P00056,2026-05-04,56.285
P00056,2026-06-03,60.693
P00056,2026-07-03,48.941
P00056,2026-08-02,54.58
P00056,2026-09-01,57.456
P00057,2026-04-04,52.625
P00057,2026-05-04,79.62
P00057,2026-06-03,60.761
P00057,2026-07-03,60.419
P00057,2026-08-02,55.15
P00057,2026-09-01,59.631
P00058,2026-04-04,64.129
P00058,2026-05-04,60.75
P00058,2026-06-03,63.001
P00058,2026-07-03,52.786
P00058,2026-08-02,65.737
P00058,2026-09-01,65.985
P00059,2026-04-04,47.145
P00059,2026-05-04,34.061
P00059,2026-06-03,28.14
P00059,2026-07-03,31.264
P00059,2026-08-02,33.505
P00059,2026-09-01,33.688
P00060,2026-04-04,61.015
P00060,2026-05-04,55.835
P00060,2026-06-03,57.292
P00060,2026-07-03,59.719
P00060,2026-08-02,63.025
P00060,2026-09-01,63.913
P00061,2026-04-04,52.622
P00061,2026-05-04,61.556
P00061,2026-06-03,51.944
P00061,2026-07-03,54.234
P00061,2026-08-02,52.705
P00061,2026-09-01,50.907
P00062,2026-04-04,24.032
P00062,2026-05-04,38.229
P00062,2026-06-03,25.639
P00062,2026-07-03,35.519
P00062,2026-08-02,25.401
P00062,2026-09-01,30.816
P00063,2026-04-04,41.651
P00063,2026-05-04,41.478
P00063,2026-06-03,47.722
P00063,2026-07-03,64.568
P00063,2026-08-02,53.323
P00063,2026-09-01,42.16
P00064,2026-04-04,51.11
P00064,2026-05-04,58.158
P00064,2026-06-03,56.507
P00064,2026-07-03,61.929
P00064,2026-08-02,59.659
P00064,2026-09-01,62.191
P00065,2026-04-04,66.575
P00065,2026-05-04,63.633
P00065,2026-06-03,68.679
P00065,2026-07-03,69.473
P00065,2026-08-02,75.706
P00065,2026-09-01,65.006
P00066,2026-04-04,59.474
P00066,2026-05-04,54.474
P00066,2026-06-03,50.015
P00066,2026-07-03,60.163
P00066,2026-08-02,60.232
P00066,2026-09-01,69.951
P00067,2026-04-04,40.199
P00067,2026-05-04,38.471
P00067,2026-06-03,32.009
P00067,2026-07-03,43.642
P00067,2026-08-02,42.972
P00067,2026-09-01,43.267
P00068,2026-04-04,49.2
P00068,2026-05-04,40.24
P00068,2026-06-03,35.839
P00068,2026-07-03,55.208
P00068,2026-08-02,38.268
P00068,2026-09-01,40.946
P00069,2026-04-04,46.908
P00069,2026-05-04,32.606
P00069,2026-06-03,43.483
P00069,2026-07-03,52.198
P00069,2026-08-02,35.502
P00069,2026-09-01,34.575
P00070,2026-04-04,37.165
P00070,2026-05-04,35.936
P00070,2026-06-03,36.848
P00070,2026-07-03,42.723
P00070,2026-08-02,45.746
P00070,2026-09-01,39.066
P00071,2026-04-04,43.578
P00071,2026-05-04,67.866
P00071,2026-06-03,76.381
P00071,2026-07-03,67.94
P00071,2026-08-02,70.265
P00071,2026-09-01,76.647
P00072,2026-04-04,36.413
P00072,2026-05-04,35.002
P00072,2026-06-03,41.238
P00072,2026-07-03,51.569
P00072,2026-08-02,58.653
P00072,2026-09-01,54.793
P00073,2026-04-04,45.438
P00073,2026-05-04,47.877
P00073,2026-06-03,44.675
P00073,2026-07-03,51.56
P00073,2026-08-02,51.344
P00073,2026-09-01,46.738
P00074,2026-04-04,54.42
P00074,2026-05-04,53.512
P00074,2026-06-03,54.099
P00074,2026-07-03,70.357
P00074,2026-08-02,56.99
P00074,2026-09-01,66.684
P00075,2026-04-04,58.771
P00075,2026-05-04,61.048
P00075,2026-06-03,67.774
P00075,2026-07-03,63.438
P00075,2026-08-02,63.557
P00075,2026-09-01,67.276
P00076,2026-04-04,18.506
P00076,2026-05-04,37.993
P00076,2026-06-03,21.917
P00076,2026-07-03,37.787
P00076,2026-08-02,18.564
P00076,2026-09-01,23.726
P00077,2026-04-04,71.611
P00077,2026-05-04,66.425
P00077,2026-06-03,64.546
P00077,2026-07-03,73.35
P00077,2026-08-02,83.254
P00077,2026-09-01,78.773
P00078,2026-04-04,70.483
P00078,2026-05-04,67.75
P00078,2026-06-03,73.269
P00078,2026-07-03,73.093
P00078,2026-08-02,73.237
P00078,2026-09-01,71.002
P00079,2026-04-04,50.674
P00079,2026-05-04,41.821
P00079,2026-06-03,37.404
P00079,2026-07-03,52.642
P00079,2026-08-02,53.773
P00079,2026-09-01,52.828
P00080,2026-04-04,68.74
P00080,2026-05-04,84.142
P00080,2026-06-03,66.635
P00080,2026-07-03,61.191
P00080,2026-08-02,73.752
P00080,2026-09-01,76.893
P00081,2026-04-04,63.681
P00081,2026-05-04,71.467
P00081,2026-06-03,83.729
P00081,2026-07-03,67.852
P00081,2026-08-02,58.876
P00081,2026-09-01,70.476
P00082,2026-04-04,59.294
P00082,2026-05-04,56.45
P00082,2026-06-03,47.199
P00082,2026-07-03,44.189
P00082,2026-08-02,47.729
P00082,2026-09-01,53.441
P00083,2026-04-04,58.589
P00083,2026-05-04,45.152
P00083,2026-06-03,47.231
P00083,2026-07-03,57.57
P00083,2026-08-02,63.019
P00083,2026-09-01,50.672
P00084,2026-04-04,46.975
P00084,2026-05-04,49.602
P00084,2026-06-03,58.386
P00084,2026-07-03,52.316
P00084,2026-08-02,44.817
P00084,2026-09-01,50.804
P00085,2026-04-04,16.37
P00085,2026-05-04,14.917
P00085,2026-06-03,22.052
P00085,2026-07-03,26.213
P00085,2026-08-02,20.763
P00085,2026-09-01,18.95
P00086,2026-04-04,34.54
P00086,2026-05-04,26.643
P00086,2026-06-03,31.987
P00086,2026-07-03,45.928
P00086,2026-08-02,40.726
P00086,2026-09-01,45.386
P00087,2026-04-04,75.752
P00087,2026-05-04,74.381
P00087,2026-06-03,77.701
P00087,2026-07-03,84.859
P00087,2026-08-02,60.117
P00087,2026-09-01,72.098
P00088,2026-04-04,76.153
P00088,2026-05-04,71.429
P00088,2026-06-03,75.792
P00088,2026-07-03,69.484
P00088,2026-08-02,64.894
P00088,2026-09-01,71.877
P00089,2026-04-04,30.221
P00089,2026-05-04,40.54
P00089,2026-06-03,35.554
P00089,2026-07-03,37.074
P00089,2026-08-02,48.646
P00089,2026-09-01,46.122
P00090,2026-04-04,43.249
P00090,2026-05-04,41.719
P00090,2026-06-03,46.718
P00090,2026-07-03,52.016
P00090,2026-08-02,57.926
P00090,2026-09-01,55.112
P00091,2026-04-04,38.502
P00091,2026-05-04,31.762
P00091,2026-06-03,45.305
P00091,2026-07-03,36.417
P00091,2026-08-02,37.361
P00091,2026-09-01,33.002
P00092,2026-04-04,64.087
P00092,2026-05-04,60.683
P00092,2026-06-03,76.876
P00092,2026-07-03,68.709
P00092,2026-08-02,59.026
P00092,2026-09-01,63.008
P00093,2026-04-04,77.585
P00093,2026-05-04,70.599
P00093,2026-06-03,68.89
P00093,2026-07-03,68.056
P00093,2026-08-02,68.04
P00093,2026-09-01,72.562
P00094,2026-04-04,61.237
P00094,2026-05-04,78.37
P00094,2026-06-03,49.114
P00094,2026-07-03,57.39
P00094,2026-08-02,61.222
P00094,2026-09-01,54.507
P00095,2026-04-04,54.193
P00095,2026-05-04,60.92
P00095,2026-06-03,53.387
P00095,2026-07-03,55.93
P00095,2026-08-02,50.403
P00095,2026-09-01,59.023
P00096,2026-04-04,64.308
P00096,2026-05-04,61.246
P00096,2026-06-03,74.716
P00096,2026-07-03,65.063
P00096,2026-08-02,68.578
P00096,2026-09-01,70.044
P00097,2026-04-04,74.507
P00097,2026-05-04,72.009
P00097,2026-06-03,68.169
P00097,2026-07-03,69.507
P00097,2026-08-02,91.305
P00097,2026-09-01,73.579
P00098,2026-04-04,64.415
P00098,2026-05-04,69.782
P00098,2026-06-03,72.924
P00098,2026-07-03,60.059
P00098,2026-08-02,57.959
P00098,2026-09-01,70.39
P00099,2026-04-04,37.837
P00099,2026-05-04,46.826
P00099,2026-06-03,42.71
P00099,2026-07-03,50.151
P00099,2026-08-02,46.735
P00099,2026-09-01,52.961
P00100,2026-04-04,55.551
P00100,2026-05-04,40.201
P00100,2026-06-03,41.853
P00100,2026-07-03,54.479
P00100,2026-08-02,45.621
P00100,2026-09-01,44.607
P00101,2026-04-04,46.557
P00101,2026-05-04,42.762
P00101,2026-06-03,42.103
P00101,2026-07-03,43.161
P00101,2026-08-02,63.581
P00101,2026-09-01,54.622
P00102,2026-04-04,35.048
P00102,2026-05-04,35.074
P00102,2026-06-03,29.982
P00102,2026-07-03,36.025
P00102,2026-08-02,36.842
P00102,2026-09-01,37.242
P00103,2026-04-04,66.305
P00103,2026-05-04,58.943
P00103,2026-06-03,44.931
P00103,2026-07-03,58.464
P00103,2026-08-02,54.326
P00103,2026-09-01,58.18
P00104,2026-04-04,72.613
P00104,2026-05-04,65.438
P00104,2026-06-03,59.039
P00104,2026-07-03,64.911
P00104,2026-08-02,60.343
P00104,2026-09-01,65.085
P00105,2026-04-04,63.651
P00105,2026-05-04,72.763
P00105,2026-06-03,77.443
P00105,2026-07-03,71.54
P00105,2026-08-02,70.201
P00105,2026-09-01,75.753
P00106,2026-04-04,38.699
P00106,2026-05-04,31.561
P00106,2026-06-03,39.917
P00106,2026-07-03,32.49
P00106,2026-08-02,33.425
P00106,2026-09-01,31.649
P00107,2026-04-04,66.004
P00107,2026-05-04,64.614
P00107,2026-06-03,59.036
P00107,2026-07-03,52.686
P00107,2026-08-02,49.049
P00107,2026-09-01,63.724
P00108,2026-04-04,70.598
P00108,2026-05-04,72.985
P00108,2026-06-03,67.226
P00108,2026-07-03,63.002
P00108,2026-08-02,61.517
P00108,2026-09-01,75.91
P00109,2026-04-04,24.679
P00109,2026-05-04,34.597
P00109,2026-06-03,27.266
P00109,2026-07-03,27.849
P00109,2026-08-02,28.657
P00109,2026-09-01,31.201
P00110,2026-04-04,53.943
P00110,2026-05-04,49.191
P00110,2026-06-03,61.854
P00110,2026-07-03,43.647
P00110,2026-08-02,53.377
P00110,2026-09-01,57.494
P00111,2026-04-04,12.419
P00111,2026-05-04,21.778
P00111,2026-06-03,14.171
P00111,2026-07-03,30.473
P00111,2026-08-02,29.066
P00111,2026-09-01,32.018
P00112,2026-04-04,33.417
P00112,2026-05-04,43.389
P00112,2026-06-03,56.507
P00112,2026-07-03,61.307
P00112,2026-08-02,42.196
P00112,2026-09-01,54.496
P00113,2026-04-04,70.257
P00113,2026-05-04,63.892
P00113,2026-06-03,72.029
P00113,2026-07-03,56.641
P00113,2026-08-02,76.869
P00113,2026-09-01,77.464
P00114,2026-04-04,60.666
P00114,2026-05-04,48.36
P00114,2026-06-03,40.408
P00114,2026-07-03,61.535
P00114,2026-08-02,46.017
P00114,2026-09-01,53.97
P00115,2026-04-04,50.135
P00115,2026-05-04,45.27
P00115,2026-06-03,44.969
P00115,2026-07-03,52.788
P00115,2026-08-02,45.91
P00115,2026-09-01,41.385
P00116,2026-04-04,47.096
P00116,2026-05-04,65.532
P00116,2026-06-03,66.556
P00116,2026-07-03,68.959
P00116,2026-08-02,67.091
P00116,2026-09-01,52.107
P00117,2026-04-04,40.969
P00117,2026-05-04,38.198
P00117,2026-06-03,44.398
P00117,2026-07-03,44.086
P00117,2026-08-02,42.993
P00117,2026-09-01,47.113
P00118,2026-04-04,60.134
P00118,2026-05-04,62.388
P00118,2026-06-03,52.706
P00118,2026-07-03,64.357
P00118,2026-08-02,66.746
P00118,2026-09-01,64.503
P00119,2026-04-04,39.211
P00119,2026-05-04,35.265
P00119,2026-06-03,32.075
P00119,2026-07-03,43.999
P00119,2026-08-02,37.83
P00119,2026-09-01,36.188
P00120,2026-04-04,29.663
P00120,2026-05-04,21.064
P00120,2026-06-03,24.08
P00120,2026-07-03,26.834
P00120,2026-08-02,26.336
P00120,2026-09-01,28.006
P00121,2026-04-04,42.835
P00121,2026-05-04,41.726
P00121,2026-06-03,55.959
P00121,2026-07-03,55.916
P00121,2026-08-02,59.194
P00121,2026-09-01,56.929
P00122,2026-04-04,41.736
P00122,2026-05-04,35.654
P00122,2026-06-03,29.846
P00122,2026-07-03,41.259
P00122,2026-08-02,47.75
P00122,2026-09-01,51.791
P00123,2026-04-04,33.509
P00123,2026-05-04,52.695
P00123,2026-06-03,54.377
P00123,2026-07-03,59.603
P00123,2026-08-02,53.852
P00123,2026-09-01,60.784
P00124,2026-04-04,55.412
P00124,2026-05-04,63.223
P00124,2026-06-03,63.193
P00124,2026-07-03,79.352
P00124,2026-08-02,72.224
P00124,2026-09-01,72.211
P00125,2026-04-04,29.066
P00125,2026-05-04,18.172
P00125,2026-06-03,25.046
P00125,2026-07-03,21.229
P00125,2026-08-02,19.372
P00125,2026-09-01,20.739
P00126,2026-04-04,67.939
P00126,2026-05-04,64.237
P00126,2026-06-03,70.797
P00126,2026-07-03,60.947
P00126,2026-08-02,60.069
P00126,2026-09-01,65.049
P00127,2026-04-04,65.378
P00127,2026-05-04,58.044
P00127,2026-06-03,58.321
P00127,2026-07-03,63.57
P00127,2026-08-02,64.915
P00127,2026-09-01,63.264
P00128,2026-04-04,61.902
P00128,2026-05-04,62.011
P00128,2026-06-03,72.403
P00128,2026-07-03,70.223
P00128,2026-08-02,66.144
P00128,2026-09-01,82.222
P00129,2026-04-04,36.833
P00129,2026-05-04,55.837
P00129,2026-06-03,43.312
P00129,2026-07-03,36.955
P00129,2026-08-02,57.653
P00129,2026-09-01,51.371
P00130,2026-04-04,38.577
P00130,2026-05-04,43.492
P00130,2026-06-03,51.022
P00130,2026-07-03,52.26
P00130,2026-08-02,66.013
P00130,2026-09-01,58.825
P00131,2026-04-04,45.063
P00131,2026-05-04,48.496
P00131,2026-06-03,41.01
P00131,2026-07-03,41.862
P00131,2026-08-02,36.893
P00131,2026-09-01,43.063
P00132,2026-04-04,40.967
P00132,2026-05-04,41.75
P00132,2026-06-03,52.332
P00132,2026-07-03,29.592
P00132,2026-08-02,42.687
P00132,2026-09-01,39.126
P00133,2026-04-04,22.852
P00133,2026-05-04,17.084
P00133,2026-06-03,22.452
P00133,2026-07-03,11.758
P00133,2026-08-02,17.538
P00133,2026-09-01,21.177
P00134,2026-04-04,49.344
P00134,2026-05-04,58.029
P00134,2026-06-03,57.684
P00134,2026-07-03,42.495
P00134,2026-08-02,56.243
P00134,2026-09-01,50.369
P00135,2026-04-04,59.275
P00135,2026-05-04,64.702
P00135,2026-06-03,49.078
P00135,2026-07-03,64.087
P00135,2026-08-02,63.977
P00135,2026-09-01,52.288
P00136,2026-04-04,34.037
P00136,2026-05-04,28.197
P00136,2026-06-03,35.702
P00136,2026-07-03,43.412
P00136,2026-08-02,34.088
P00136,2026-09-01,41.707
P00137,2026-04-04,74.819
P00137,2026-05-04,68.769
P00137,2026-06-03,71.519
P00137,2026-07-03,53.183
P00137,2026-08-02,69.615
P00137,2026-09-01,74.915
P00138,2026-04-04,28.878
P00138,2026-05-04,31.236
P00138,2026-06-03,43.38
P00138,2026-07-03,34.609
P00138,2026-08-02,34.36
P00138,2026-09-01,35.69
P00139,2026-04-04,51.69
P00139,2026-05-04,38.711
P00139,2026-06-03,63.155
P00139,2026-07-03,64.063
P00139,2026-08-02,51.528
P00139,2026-09-01,55.175
P00140,2026-04-04,47.98
P00140,2026-05-04,63.098
P00140,2026-06-03,43.766
P00140,2026-07-03,49.253
P00140,2026-08-02,67.923
P00140,2026-09-01,56.467
P00141,2026-04-04,54.504
P00141,2026-05-04,55.487
P00141,2026-06-03,42.001
P00141,2026-07-03,48.174
P00141,2026-08-02,43.172
P00141,2026-09-01,53.743
P00142,2026-04-04,36.677
P00142,2026-05-04,37.951
P00142,2026-06-03,40.533
P00142,2026-07-03,41.674
P00142,2026-08-02,58.461
P00142,2026-09-01,47.683
P00143,2026-04-04,49.831
P00143,2026-05-04,56.757
P00143,2026-06-03,48.343
P00143,2026-07-03,58.608
P00143,2026-08-02,73.045
P00143,2026-09-01,70.388
P00144,2026-04-04,42.474
P00144,2026-05-04,37.347
P00144,2026-06-03,38.137
P00144,2026-07-03,38.083
P00144,2026-08-02,29.427
P00144,2026-09-01,41.309
P00145,2026-04-04,71.519
P00145,2026-05-04,73.27
P00145,2026-06-03,73.919
P00145,2026-07-03,78.602
P00145,2026-08-02,68.298
P00145,2026-09-01,58.76
P00146,2026-04-04,44.663
P00146,2026-05-04,56.314
P00146,2026-06-03,60.704
P00146,2026-07-03,66.063
P00146,2026-08-02,63.68
P00146,2026-09-01,66.766
P00147,2026-04-04,56.091
P00147,2026-05-04,63.186
P00147,2026-06-03,57.936
P00147,2026-07-03,67.139
P00147,2026-08-02,49.382
P00147,2026-09-01,48.721
P00148,2026-04-04,64.624
P00148,2026-05-04,64.318
P00148,2026-06-03,55.013
P00148,2026-07-03,59.735
P00148,2026-08-02,62.255
P00148,2026-09-01,66.95
P00149,2026-04-04,66.202
P00149,2026-05-04,56.152
P00149,2026-06-03,50.531
P00149,2026-07-03,62.115
P00149,2026-08-02,57.635
P00149,2026-09-01,53.151
P00150,2026-04-04,65.111
P00150,2026-05-04,58.259
P00150,2026-06-03,54.172
P00150,2026-07-03,56.018
P00150,2026-08-02,65.471
P00150,2026-09-01,61.385
P00151,2026-04-04,34.327
P00151,2026-05-04,38.332
P00151,2026-06-03,37.52
P00151,2026-07-03,46.42
P00151,2026-08-02,56.93
P00151,2026-09-01,45.754
P00152,2026-04-04,49.123
P00152,2026-05-04,50.827
P00152,2026-06-03,54.575
P00152,2026-07-03,60.726
P00152,2026-08-02,60.926
P00152,2026-09-01,55.715
P00153,2026-04-04,23.554
P00153,2026-05-04,19.832
P00153,2026-06-03,19.659
P00153,2026-07-03,29.818
P00153,2026-08-02,20.132
P00153,2026-09-01,19.456
P00154,2026-04-04,51.203
P00154,2026-05-04,51.389
P00154,2026-06-03,57.55
P00154,2026-07-03,56.798
P00154,2026-08-02,58.88
P00154,2026-09-01,45.471
P00155,2026-04-04,47.169
P00155,2026-05-04,56.659
P00155,2026-06-03,51.427
P00155,2026-07-03,49.287
P00155,2026-08-02,46.954
