leave_id,personnel_id,leave_type,start_date,end_date,days_availed
P00011-L007,P00011,casual,2025-03-25,2025-03-30,5.3
P00011-L008,P00011,casual,2025-04-29,2025-05-10,10.7
P00011-L009,P00011,earned,2025-05-16,2025-06-03,17.7
P00011-L010,P00011,earned,2025-06-14,2025-06-17,3.7
P00011-L011,P00011,earned,2025-07-27,2025-08-08,12.6
P00011-L012,P00011,earned,2025-08-28,2025-09-04,7.2
P00011-L013,P00011,earned,2025-09-29,2025-10-04,4.8
P00011-L014,P00011,earned,2025-10-21,2025-10-26,5.1
P00011-L015,P00011,earned,2025-11-25,2025-12-08,13.2
P00011-L016,P00011,casual,2025-12-26,2025-12-31,4.7
P00011-L017,P00011,medical,2026-02-12,2026-02-14,2.1
P00011-L018,P00011,earned,2026-03-07,2026-03-13,5.7
P00011-L019,P00011,earned,2026-03-26,2026-04-02,6.5
P00011-L020,P00011,earned,2026-05-09,2026-05-11,2.9
P00011-L021,P00011,casual,2026-06-17,2026-06-23,6.0
P00011-L022,P00011,medical,2026-07-28,2026-07-30,1.7
P00011-L023,P00011,casual,2026-08-04,2026-08-07,2.5
P00012-L001,P00012,medical,2024-10-03,2024-10-16,13.3
P00012-L002,P00012,medical,2024-12-09,2024-12-14,5.4
P00012-L003,P00012,compensatory,2025-02-09,2025-02-25,15.8
P00012-L004,P00012,casual,2025-04-04,2025-04-09,4.9
P00012-L005,P00012,earned,2025-05-14,2025-05-26,11.6
P00012-L006,P00012,casual,2025-07-16,2025-07-31,14.6
P00012-L007,P00012,earned,2025-09-03,2025-09-09,5.8
P00012-L008,P00012,earned,2025-12-04,2025-12-16,11.8
P00012-L009,P00012,casual,2026-01-30,2026-02-03,4.0
P00012-L010,P00012,earned,2026-03-18,2026-04-03,16.3
P00012-L011,P00012,medical,2026-06-02,2026-06-21,19.5
P00012-L012,P00012,earned,2026-07-14,2026-07-31,16.3
P00013-L001,P00013,casual,2024-09-11,2024-09-24,13.4
P00013-L002,P00013,medical,2024-10-23,2024-10-27,3.6
P00013-L003,P00013,earned,2024-12-16,2024-12-21,4.8
P00013-L004,P00013,earned,2025-02-04,2025-02-20,16.1
P00013-L005,P00013,earned,2025-04-05,2025-04-09,4.6
P00013-L006,P00013,compensatory,2025-05-02,2025-05-11,9.0
P00013-L007,P00013,earned,2025-06-27,2025-07-05,8.2
P00013-L008,P00013,medical,2025-08-23,2025-09-03,10.8
P00013-L009,P00013,casual,2025-09-26,2025-10-03,6.9
P00013-L010,P00013,earned,2025-12-03,2025-12-20,16.4
P00013-L011,P00013,casual,2026-01-17,2026-01-31,13.4
P00013-L012,P00013,earned,2026-02-26,2026-03-09,10.8
P00013-L013,P00013,earned,2026-05-01,2026-05-06,5.4
P00013-L014,P00013,medical,2026-05-27,2026-06-03,6.9
P00013-L015,P00013,compensatory,2026-07-21,2026-07-25,4.4
P00014-L001,P00014,earned,2024-09-10,2024-09-26,16.9
P00014-L002,P00014,earned,2024-10-31,2024-11-14,14.4
P00014-L003,P00014,casual,2024-12-03,2024-12-10,7.8
P00014-L004,P00014,earned,2025-01-03,2025-01-29,26.5
P00014-L005,P00014,earned,2025-02-15,2025-02-20,5.0
P00014-L006,P00014,earned,2025-03-29,2025-04-05,7.7
P00014-L007,P00014,earned,2025-05-10,2025-05-20,10.5
P00014-L008,P00014,compensatory,2025-06-14,2025-06-20,5.7
P00014-L009,P00014,casual,2025-07-22,2025-07-23,1.7
P00014-L010,P00014,casual,2025-09-01,2025-09-13,11.4
P00014-L011,P00014,earned,2025-10-11,2025-10-16,5.0
P00014-L012,P00014,earned,2025-11-28,2025-12-07,8.5
P00014-L013,P00014,earned,2026-01-05,2026-01-14,9.3
P00014-L014,P00014,casual,2026-02-27,2026-03-12,12.9
P00014-L015,P00014,medical,2026-04-06,2026-04-14,7.6
P00014-L016,P00014,earned,2026-05-23,2026-05-24,1.0
P00014-L017,P00014,earned,2026-06-15,2026-07-01,16.0
P00014-L018,P00014,earned,2026-07-25,2026-08-04,9.8
P00015-L001,P00015,earned,2024-10-10,2024-10-16,6.2
P00015-L002,P00015,casual,2024-12-14,2024-12-29,15.0
P00015-L003,P00015,medical,2025-01-18,2025-01-22,3.4
P00015-L004,P00015,earned,2025-04-05,2025-04-22,16.6
P00015-L005,P00015,casual,2025-07-08,2025-07-13,5.7
P00015-L006,P00015,casual,2025-08-17,2025-09-03,17.5
P00015-L007,P00015,casual,2025-10-16,2025-10-26,10.5
P00015-L008,P00015,casual,2025-12-18,2026-01-01,13.8
P00015-L009,P00015,casual,2026-02-17,2026-02-19,2.1
P00015-L010,P00015,compensatory,2026-05-25,2026-06-10,15.4
P00015-L011,P00015,casual,2026-07-25,2026-08-03,9.3
P00016-L001,P00016,casual,2024-08-31,2024-09-07,6.9
P00016-L002,P00016,casual,2024-10-04,2024-10-10,6.2
P00016-L003,P00016,casual,2024-11-08,2024-11-11,3.1
P00016-L004,P00016,earned,2024-12-08,2024-12-16,7.9
P00016-L005,P00016,earned,2025-01-05,2025-01-12,6.9
P00016-L006,P00016,earned,2025-02-14,2025-02-22,7.7
P00016-L007,P00016,earned,2025-03-30,2025-04-03,3.4
P00016-L008,P00016,casual,2025-04-16,2025-04-22,5.9
P00016-L009,P00016,earned,2025-06-01,2025-06-06,4.9
P00016-L010,P00016,earned,2025-07-07,2025-07-10,2.5
P00016-L011,P00016,earned,2025-07-24,2025-08-01,7.9
P00016-L012,P00016,earned,2025-08-23,2025-08-29,6.3
P00016-L013,P00016,earned,2025-09-19,2025-09-30,10.8
P00016-L014,P00016,earned,2025-10-30,2025-11-05,6.3
P00016-L015,P00016,casual,2025-11-24,2025-12-10,15.8
P00016-L016,P00016,earned,2025-12-27,2026-01-03,7.2
P00016-L017,P00016,medical,2026-01-25,2026-02-03,8.3
P00016-L018,P00016,earned,2026-03-05,2026-03-09,4.1
P00016-L019,P00016,compensatory,2026-04-06,2026-04-17,10.5
P00016-L020,P00016,earned,2026-05-05,2026-05-09,4.8
P00016-L021,P00016,medical,2026-06-16,2026-06-23,7.1
P00016-L022,P00016,earned,2026-07-02,2026-07-06,3.7
P00016-L023,P00016,earned,2026-08-16,2026-08-26,9.8
P00017-L001,P00017,casual,2024-09-15,2024-09-21,6.1
P00017-L002,P00017,casual,2024-10-07,2024-10-12,5.5
P00017-L003,P00017,casual,2024-11-09,2024-11-15,5.9
P00017-L004,P00017,casual,2024-12-09,2024-12-11,1.4
P00017-L005,P00017,earned,2025-01-14,2025-01-19,5.3
P00017-L006,P00017,earned,2025-03-04,2025-03-10,6.7
P00017-L007,P00017,earned,2025-03-21,2025-03-27,5.6
P00017-L008,P00017,earned,2025-05-05,2025-05-11,6.3
P00017-L009,P00017,earned,2025-05-24,2025-05-29,4.9
P00017-L010,P00017,earned,2025-07-01,2025-07-15,14.0
P00017-L011,P00017,medical,2025-08-11,2025-08-17,6.0
P00017-L012,P00017,earned,2025-09-09,2025-09-14,4.3
P00017-L013,P00017,casual,2025-10-08,2025-10-15,6.6
P00017-L014,P00017,casual,2025-11-23,2025-12-03,10.1
P00017-L015,P00017,earned,2025-12-18,2025-12-23,5.3
P00017-L016,P00017,casual,2026-01-29,2026-02-06,7.5
P00017-L017,P00017,earned,2026-02-23,2026-03-01,6.0
P00017-L018,P00017,medical,2026-03-19,2026-04-05,16.3
P00017-L019,P00017,medical,2026-05-09,2026-05-16,6.7
P00017-L020,P00017,earned,2026-05-30,2026-06-03,4.6
P00017-L021,P00017,earned,2026-07-10,2026-07-25,14.5
P00017-L022,P00017,earned,2026-08-13,2026-08-18,5.4
P00018-L001,P00018,casual,2024-09-08,2024-09-15,6.8
P00018-L002,P00018,casual,2024-10-11,2024-10-21,9.7
P00018-L003,P00018,casual,2024-11-21,2024-11-26,5.0
P00018-L004,P00018,earned,2024-12-21,2025-01-01,10.7
P00018-L005,P00018,medical,2025-01-22,2025-02-01,9.9
P00018-L006,P00018,casual,2025-02-24,2025-02-28,4.6
P00018-L007,P00018,casual,2025-03-28,2025-04-05,8.0
P00018-L008,P00018,casual,2025-05-04,2025-05-10,5.5
P00018-L009,P00018,casual,2025-06-08,2025-06-23,15.2
P00018-L010,P00018,earned,2025-07-11,2025-07-16,4.4
P00018-L011,P00018,earned,2025-08-14,2025-08-22,7.9
P00018-L012,P00018,medical,2025-09-20,2025-09-23,3.6
P00018-L013,P00018,earned,2025-11-07,2025-11-10,3.2
P00018-L014,P00018,casual,2025-12-08,2025-12-14,5.6
P00018-L015,P00018,earned,2026-01-07,2026-01-14,7.1
P00018-L016,P00018,earned,2026-02-04,2026-02-17,13.0
P00018-L017,P00018,earned,2026-03-14,2026-03-30,16.2
P00018-L018,P00018,compensatory,2026-05-01,2026-05-06,5.2
P00018-L019,P00018,casual,2026-05-22,2026-06-03,11.4
P00018-L020,P00018,casual,2026-07-11,2026-07-23,12.1
P00018-L021,P00018,compensatory,2026-08-06,2026-08-14,8.9
P00019-L001,P00019,earned,2024-09-04,2024-09-10,6.4
P00019-L002,P00019,earned,2024-10-29,2024-11-04,6.0
P00019-L003,P00019,earned,2024-12-15,2025-01-01,16.7
P00019-L004,P00019,medical,2025-01-23,2025-01-27,4.7
P00019-L005,P00019,medical,2025-03-07,2025-03-13,6.5
P00019-L006,P00019,casual,2025-04-24,2025-05-09,15.7
P00019-L007,P00019,earned,2025-06-02,2025-06-13,11.3
P00019-L008,P00019,casual,2025-08-12,2025-08-20,8.0
P00019-L009,P00019,casual,2025-09-08,2025-09-19,10.7
P00019-L010,P00019,earned,2025-11-02,2025-11-21,18.9
P00019-L011,P00019,medical,2025-12-14,2025-12-21,6.9
P00019-L012,P00019,earned,2026-01-19,2026-01-21,1.9
P00019-L013,P00019,earned,2026-03-20,2026-03-27,6.9
P00019-L014,P00019,compensatory,2026-04-30,2026-05-12,11.2
P00019-L015,P00019,earned,2026-06-24,2026-07-10,16.1
P00019-L016,P00019,earned,2026-07-18,2026-07-23,5.1
P00020-L001,P00020,casual,2024-09-19,2024-09-28,9.0
P00020-L002,P00020,casual,2024-10-18,2024-10-23,4.6
P00020-L003,P00020,compensatory,2024-11-24,2024-11-28,4.8
P00020-L004,P00020,compensatory,2024-12-24,2024-12-30,6.0
P00020-L005,P00020,earned,2025-01-22,2025-01-29,7.2
P00020-L006,P00020,compensatory,2025-02-25,2025-03-02,5.0
P00020-L007,P00020,earned,2025-04-03,2025-04-08,5.4
P00020-L008,P00020,earned,2025-05-08,2025-05-12,3.7
P00020-L009,P00020,compensatory,2025-06-16,2025-06-27,11.1
P00020-L010,P00020,medical,2025-07-13,2025-07-17,3.7
P00020-L011,P00020,casual,2025-08-18,2025-08-21,2.9
P00020-L012,P00020,casual,2025-09-21,2025-09-27,5.5
P00020-L013,P00020,casual,2025-10-28,2025-11-06,9.0
P00020-L014,P00020,casual,2025-11-28,2025-12-07,8.7
P00020-L015,P00020,medical,2026-01-16,2026-01-19,2.8
P00020-L016,P00020,casual,2026-02-18,2026-03-02,11.7
P00020-L017,P00020,earned,2026-03-18,2026-03-26,7.5
P00020-L018,P00020,earned,2026-04-23,2026-05-05,11.4
P00020-L019,P00020,earned,2026-05-25,2026-05-27,2.7
P00020-L020,P00020,casual,2026-07-02,2026-07-05,2.7
P00020-L021,P00020,casual,2026-08-03,2026-08-08,4.4
P00021-L001,P00021,earned,2024-09-22,2024-09-30,7.1
P00021-L002,P00021,casual,2024-11-05,2024-11-19,13.9
P00021-L003,P00021,compensatory,2025-01-18,2025-02-14,27.0
P00021-L004,P00021,casual,2025-04-03,2025-04-19,16.5
P00021-L005,P00021,compensatory,2025-06-12,2025-06-22,9.9
P00021-L006,P00021,compensatory,2025-08-28,2025-09-04,6.8
P00021-L007,P00021,earned,2025-10-30,2025-11-08,9.7
P00021-L008,P00021,medical,2025-12-26,2026-01-12,16.6
P00021-L009,P00021,casual,2026-02-19,2026-03-10,18.6
P00021-L010,P00021,casual,2026-06-06,2026-06-13,6.7
P00021-L011,P00021,earned,2026-07-11,2026-07-17,5.1
P00022-L001,P00022,casual,2024-10-14,2024-11-04,20.9
P00022-L002,P00022,earned,2024-12-15,2024-12-29,14.8
P00022-L003,P00022,medical,2025-05-09,2025-05-23,14.0
P00022-L004,P00022,compensatory,2025-07-17,2025-07-30,13.9
P00022-L005,P00022,casual,2025-09-26,2025-10-10,14.2
P00022-L006,P00022,compensatory,2026-01-10,2026-01-14,3.8
P00022-L007,P00022,casual,2026-03-13,2026-04-12,30.0
P00022-L008,P00022,earned,2026-07-23,2026-08-05,12.8
P00023-L001,P00023,casual,2024-09-02,2024-09-08,6.6
P00023-L002,P00023,medical,2024-11-26,2024-12-01,5.2
P00023-L003,P00023,earned,2024-12-21,2025-01-02,11.3
P00023-L004,P00023,earned,2025-01-30,2025-02-11,11.3
P00023-L005,P00023,compensatory,2025-04-11,2025-04-21,10.2
P00023-L006,P00023,casual,2025-05-06,2025-05-09,2.7
P00023-L007,P00023,earned,2025-06-30,2025-07-20,20.1
P00023-L008,P00023,earned,2025-08-12,2025-08-22,9.6
P00023-L009,P00023,earned,2025-09-27,2025-10-02,5.4
P00023-L010,P00023,earned,2025-11-27,2025-12-04,6.3
P00023-L011,P00023,earned,2026-01-22,2026-01-31,9.4
P00023-L012,P00023,casual,2026-02-27,2026-03-06,7.4
P00023-L013,P00023,compensatory,2026-05-02,2026-05-12,9.1
P00023-L014,P00023,casual,2026-05-27,2026-06-03,7.2
P00023-L015,P00023,medical,2026-07-31,2026-08-09,9.3
P00024-L001,P00024,casual,2024-09-06,2024-09-12,6.9
P00024-L002,P00024,medical,2024-12-14,2024-12-23,8.8
P00024-L003,P00024,earned,2025-01-15,2025-01-21,6.1
P00024-L004,P00024,casual,2025-04-10,2025-04-16,5.9
P00024-L005,P00024,earned,2025-05-31,2025-06-18,17.5
P00024-L006,P00024,medical,2025-08-18,2025-08-20,2.8
P00024-L007,P00024,earned,2025-10-22,2025-11-01,9.3
P00024-L008,P00024,casual,2026-01-15,2026-02-09,24.7
P00024-L009,P00024,earned,2026-02-23,2026-03-06,10.9
P00024-L010,P00024,earned,2026-05-21,2026-06-05,14.9
P00024-L011,P00024,earned,2026-07-10,2026-07-23,12.7
P00025-L001,P00025,casual,2024-09-17,2024-09-25,8.6
P00025-L002,P00025,earned,2024-10-22,2024-11-04,12.4
P00025-L003,P00025,earned,2024-12-19,2024-12-25,6.4
P00025-L004,P00025,earned,2025-01-13,2025-01-26,13.0
P00025-L005,P00025,earned,2025-03-04,2025-03-19,15.2
P00025-L006,P00025,medical,2025-04-08,2025-04-19,10.5
P00025-L007,P00025,earned,2025-05-24,2025-06-07,14.0
P00025-L008,P00025,earned,2025-07-02,2025-07-21,18.5
P00025-L009,P00025,compensatory,2025-08-18,2025-08-27,9.2
P00025-L010,P00025,earned,2025-10-15,2025-10-21,5.2
P00025-L011,P00025,casual,2025-11-23,2025-11-27,4.8
P00025-L012,P00025,earned,2025-12-17,2026-01-08,21.7
P00025-L013,P00025,casual,2026-02-15,2026-02-24,9.2
P00025-L014,P00025,earned,2026-03-24,2026-04-01,8.0
P00025-L015,P00025,earned,2026-05-26,2026-05-28,2.4
P00025-L016,P00025,compensatory,2026-07-08,2026-07-11,2.8
P00025-L017,P00025,earned,2026-08-05,2026-08-19,14.9
P00026-L001,P00026,earned,2024-08-31,2024-09-20,19.4
P00026-L002,P00026,medical,2024-10-22,2024-10-29,7.2
P00026-L003,P00026,earned,2024-12-08,2024-12-19,10.3
P00026-L004,P00026,casual,2025-01-08,2025-01-29,20.1
P00026-L005,P00026,casual,2025-02-28,2025-03-09,9.0
P00026-L006,P00026,earned,2025-04-18,2025-04-26,7.2
P00026-L007,P00026,earned,2025-06-04,2025-06-10,6.1
P00026-L008,P00026,earned,2025-07-06,2025-07-08,2.0
P00026-L009,P00026,earned,2025-09-02,2025-09-06,4.0
P00026-L010,P00026,casual,2025-09-25,2025-10-09,13.7
P00026-L011,P00026,earned,2025-11-08,2025-11-15,6.9
P00026-L012,P00026,casual,2026-01-03,2026-01-10,7.7
P00026-L013,P00026,casual,2026-02-02,2026-02-16,13.5
P00026-L014,P00026,compensatory,2026-03-15,2026-03-19,4.2
P00026-L015,P00026,earned,2026-05-01,2026-05-08,6.6
P00026-L016,P00026,medical,2026-06-13,2026-06-17,4.3
P00026-L017,P00026,casual,2026-07-24,2026-08-02,8.9
