training_id,personnel_id,course_name,start_date,end_date,training_hours
P00009-TR01,P00009,Communications and Signals,2025-01-29,2025-02-04,44.3
P00009-TR02,P00009,Communications and Signals,2025-11-10,2025-11-12,19.3
P00009-TR03,P00009,Stress Management Workshop,2025-05-06,2025-05-07,9.4
P00009-TR04,P00009,Stress Management Workshop,2024-09-08,2024-09-13,36.7
P00009-TR05,P00009,Weapons Refresher,2026-06-26,2026-06-29,25.0
P00009-TR06,P00009,Weapons Refresher,2025-10-16,2025-10-22,51.6
P00009-TR07,P00009,Communications and Signals,2025-08-27,2025-09-02,44.2
P00009-TR08,P00009,Crowd Management,2024-12-22,2024-12-25,21.6
P00009-TR09,P00009,Communications and Signals,2025-10-16,2025-10-19,29.4
P00009-TR10,P00009,Jungle Warfare Refresher,2026-07-04,2026-07-07,21.9
P00009-TR11,P00009,Stress Management Workshop,2025-06-28,2025-07-03,39.3
P00010-TR01,P00010,Physical Efficiency Test Preparation,2026-06-27,2026-06-28,5.1
P00010-TR02,P00010,Crowd Management,2026-08-14,2026-08-18,36.7
P00010-TR03,P00010,Physical Efficiency Test Preparation,2026-07-29,2026-08-01,19.4
P00010-TR04,P00010,Jungle Warfare Refresher,2024-11-29,2024-12-02,20.7
P00010-TR05,P00010,Communications and Signals,2026-03-02,2026-03-08,48.2
P00010-TR06,P00010,Counter-IED Awareness,2026-04-08,2026-04-13,46.1
P00010-TR07,P00010,Physical Efficiency Test Preparation,2024-11-18,2024-11-22,37.1
P00010-TR08,P00010,Communications and Signals,2024-12-31,2025-01-01,7.3
P00010-TR09,P00010,Weapons Refresher,2025-12-16,2025-12-20,30.8
P00011-TR01,P00011,Counter-IED Awareness,2025-05-14,2025-05-18,33.4
P00011-TR02,P00011,Weapons Refresher,2025-10-17,2025-10-22,38.2
P00011-TR03,P00011,Communications and Signals,2025-04-29,2025-05-02,24.2
P00011-TR04,P00011,Weapons Refresher,2026-06-26,2026-07-04,60.0
P00011-TR05,P00011,Jungle Warfare Refresher,2024-10-07,2024-10-10,22.1
P00011-TR06,P00011,Physical Efficiency Test Preparation,2025-02-02,2025-02-07,38.2
P00011-TR07,P00011,Communications and Signals,2025-04-20,2025-04-24,27.3
P00011-TR08,P00011,Counter-IED Awareness,2026-05-23,2026-05-25,16.9
P00011-TR09,P00011,First Response and Trauma Care,2026-07-07,2026-07-11,32.3
P00012-TR01,P00012,Stress Management Workshop,2024-09-08,2024-09-11,23.8
P00012-TR02,P00012,Communications and Signals,2024-11-20,2024-11-26,45.8
P00012-TR03,P00012,Stress Management Workshop,2024-09-07,2024-09-11,32.6
P00013-TR01,P00013,First Response and Trauma Care,2025-08-29,2025-08-31,16.2
P00013-TR02,P00013,Stress Management Workshop,2026-01-20,2026-01-24,32.4
P00013-TR03,P00013,Communications and Signals,2025-08-05,2025-08-08,26.5
P00013-TR04,P00013,Weapons Refresher,2026-02-27,2026-03-06,58.7
P00013-TR05,P00013,Jungle Warfare Refresher,2026-03-26,2026-04-02,52.3
P00013-TR06,P00013,Counter-IED Awareness,2025-12-15,2025-12-17,14.5
P00013-TR07,P00013,Crowd Management,2025-06-25,2025-06-26,5.3
P00013-TR08,P00013,Counter-IED Awareness,2026-05-24,2026-05-26,16.5
P00013-TR09,P00013,First Response and Trauma Care,2025-04-21,2025-04-25,26.9
P00014-TR01,P00014,Weapons Refresher,2026-01-23,2026-01-26,17.2
P00014-TR02,P00014,Communications and Signals,2025-08-25,2025-08-28,29.4
P00014-TR03,P00014,Communications and Signals,2024-09-14,2024-09-17,26.7
P00014-TR04,P00014,Counter-IED Awareness,2025-12-02,2025-12-04,13.5
P00014-TR05,P00014,Jungle Warfare Refresher,2025-03-25,2025-03-27,10.6
P00014-TR06,P00014,Counter-IED Awareness,2025-10-15,2025-10-16,10.6
P00014-TR07,P00014,Stress Management Workshop,2025-01-26,2025-01-27,11.3
P00014-TR08,P00014,Weapons Refresher,2026-08-10,2026-08-13,17.8
P00015-TR01,P00015,Counter-IED Awareness,2026-01-26,2026-01-30,32.0
P00015-TR02,P00015,Physical Efficiency Test Preparation,2026-05-24,2026-05-27,26.4
P00015-TR03,P00015,Communications and Signals,2024-10-04,2024-10-07,22.5
P00015-TR04,P00015,Stress Management Workshop,2026-07-10,2026-07-16,46.1
P00015-TR05,P00015,Communications and Signals,2025-02-01,2025-02-03,18.7
P00016-TR01,P00016,Weapons Refresher,2026-02-03,2026-02-05,16.6
P00016-TR02,P00016,First Response and Trauma Care,2025-08-09,2025-08-10,10.2
P00016-TR03,P00016,First Response and Trauma Care,2025-01-15,2025-01-16,4.9
P00016-TR04,P00016,Stress Management Workshop,2026-03-19,2026-03-22,22.8
P00016-TR05,P00016,First Response and Trauma Care,2026-06-19,2026-06-22,27.7
P00016-TR06,P00016,Communications and Signals,2025-02-14,2025-02-18,29.5
P00016-TR07,P00016,Crowd Management,2025-08-01,2025-08-04,24.5
P00017-TR01,P00017,Jungle Warfare Refresher,2024-11-03,2024-11-05,16.3
P00017-TR02,P00017,Counter-IED Awareness,2026-07-23,2026-07-27,29.7
P00017-TR03,P00017,Weapons Refresher,2025-02-01,2025-02-05,25.9
P00017-TR04,P00017,Physical Efficiency Test Preparation,2026-06-23,2026-06-28,42.1
P00017-TR05,P00017,Communications and Signals,2025-12-25,2025-12-28,25.8
P00017-TR06,P00017,Crowd Management,2026-01-06,2026-01-12,46.6
P00017-TR07,P00017,Communications and Signals,2025-01-31,2025-02-01,8.1
P00017-TR08,P00017,Physical Efficiency Test Preparation,2025-05-15,2025-05-16,7.8
P00017-TR09,P00017,Stress Management Workshop,2025-08-09,2025-08-12,19.5
P00017-TR10,P00017,Communications and Signals,2025-05-25,2025-05-28,27.5
P00018-TR01,P00018,Stress Management Workshop,2026-02-23,2026-02-25,14.9
P00018-TR02,P00018,Physical Efficiency Test Preparation,2025-09-17,2025-09-21,33.2
P00018-TR03,P00018,Communications and Signals,2026-02-01,2026-02-05,32.3
P00018-TR04,P00018,Stress Management Workshop,2025-08-14,2025-08-15,4.7
P00018-TR05,P00018,Communications and Signals,2026-05-27,2026-05-30,18.1
P00018-TR06,P00018,Communications and Signals,2026-04-03,2026-04-04,10.8
P00018-TR07,P00018,Crowd Management,2025-10-08,2025-10-13,33.7
P00018-TR08,P00018,Physical Efficiency Test Preparation,2025-04-07,2025-04-08,8.4
P00018-TR09,P00018,Stress Management Workshop,2026-05-30,2026-05-31,12.3
P00018-TR10,P00018,First Response and Trauma Care,2026-01-10,2026-01-17,60.0
P00018-TR11,P00018,Stress Management Workshop,2025-10-26,2025-10-27,8.7
P00018-TR12,P00018,Physical Efficiency Test Preparation,2024-11-09,2024-11-10,9.8
P00018-TR13,P00018,Physical Efficiency Test Preparation,2026-07-03,2026-07-04,4.0
P00018-TR14,P00018,Physical Efficiency Test Preparation,2026-04-09,2026-04-14,43.2
P00019-TR01,P00019,Communications and Signals,2025-05-26,2025-05-28,16.5
P00019-TR02,P00019,Communications and Signals,2025-11-28,2025-11-29,10.0
P00019-TR03,P00019,Stress Management Workshop,2025-10-13,2025-10-16,26.5
P00019-TR04,P00019,Stress Management Workshop,2024-12-16,2024-12-20,31.2
P00019-TR05,P00019,First Response and Trauma Care,2025-01-25,2025-01-26,9.7
P00019-TR06,P00019,Crowd Management,2025-04-19,2025-04-23,33.8
P00019-TR07,P00019,Jungle Warfare Refresher,2026-02-27,2026-03-01,16.5
P00019-TR08,P00019,Physical Efficiency Test Preparation,2026-01-07,2026-01-10,23.6
P00019-TR09,P00019,Crowd Management,2025-05-22,2025-05-25,24.0
P00019-TR10,P00019,Stress Management Workshop,2024-11-04,2024-11-06,23.0
P00019-TR11,P00019,Weapons Refresher,2025-07-22,2025-07-25,24.4
P00019-TR12,P00019,First Response and Trauma Care,2025-11-17,2025-11-20,24.1
P00019-TR13,P00019,Counter-IED Awareness,2025-04-01,2025-04-03,15.1
P00019-TR14,P00019,Physical Efficiency Test Preparation,2025-01-02,2025-01-03,6.1
P00019-TR15,P00019,Weapons Refresher,2026-02-03,2026-02-04,7.7
P00019-TR16,P00019,Jungle Warfare Refresher,2025-05-17,2025-05-19,17.3
P00020-TR01,P00020,Crowd Management,2024-12-17,2024-12-22,37.3
P00020-TR02,P00020,Communications and Signals,2025-10-26,2025-10-28,14.2
P00020-TR03,P00020,Weapons Refresher,2024-09-07,2024-09-11,31.7
P00020-TR04,P00020,Physical Efficiency Test Preparation,2025-10-14,2025-10-16,21.7
P00020-TR05,P00020,Stress Management Workshop,2026-06-20,2026-06-24,34.9
P00020-TR06,P00020,Physical Efficiency Test Preparation,2025-10-25,2025-10-27,22.0
P00020-TR07,P00020,First Response and Trauma Care,2025-10-06,2025-10-07,12.7
P00020-TR08,P00020,Crowd Management,2026-07-22,2026-07-24,12.2
P00021-TR01,P00021,Stress Management Workshop,2024-11-08,2024-11-13,38.7
P00021-TR02,P00021,Weapons Refresher,2025-04-20,2025-04-23,21.2
P00021-TR03,P00021,First Response and Trauma Care,2026-05-29,2026-05-30,8.7
P00021-TR04,P00021,Weapons Refresher,2024-11-04,2024-11-05,9.6
P00021-TR05,P00021,Communications and Signals,2025-11-05,2025-11-06,8.6
P00021-TR06,P00021,Physical Efficiency Test Preparation,2025-01-17,2025-01-20,24.2
P00021-TR07,P00021,Stress Management Workshop,2025-05-02,2025-05-06,32.4
P00021-TR08,P00021,Communications and Signals,2025-10-22,2025-10-27,41.0
P00021-TR09,P00021,Counter-IED Awareness,2025-12-23,2025-12-27,26.3
P00021-TR10,P00021,Weapons Refresher,2025-07-28,2025-08-01,31.0
P00021-TR11,P00021,Communications and Signals,2025-02-20,2025-02-22,17.7
P00021-TR12,P00021,First Response and Trauma Care,2025-04-04,2025-04-06,16.1
P00021-TR13,P00021,Weapons Refresher,2025-08-22,2025-08-25,23.1
P00021-TR14,P00021,Counter-IED Awareness,2025-11-29,2025-12-03,29.9
P00021-TR15,P00021,Jungle Warfare Refresher,2026-07-27,2026-08-04,59.3
P00022-TR01,P00022,Jungle Warfare Refresher,2024-12-10,2024-12-14,28.4
P00022-TR02,P00022,Weapons Refresher,2026-06-11,2026-06-13,13.9
P00022-TR03,P00022,Weapons Refresher,2025-04-10,2025-04-11,13.5
P00022-TR04,P00022,Stress Management Workshop,2024-10-11,2024-10-12,6.2
P00022-TR05,P00022,Physical Efficiency Test Preparation,2024-10-28,2024-11-03,48.7
P00022-TR06,P00022,Jungle Warfare Refresher,2024-11-24,2024-11-28,27.4
P00022-TR07,P00022,First Response and Trauma Care,2026-04-07,2026-04-10,29.2
P00022-TR08,P00022,Communications and Signals,2025-05-19,2025-05-25,48.4
P00022-TR09,P00022,First Response and Trauma Care,2026-04-30,2026-05-03,24.2
P00022-TR10,P00022,Counter-IED Awareness,2025-12-26,2025-12-30,30.8
P00022-TR11,P00022,Crowd Management,2026-02-13,2026-02-16,23.6
P00023-TR01,P00023,Physical Efficiency Test Preparation,2026-05-03,2026-05-07,34.7
P00023-TR02,P00023,Communications and Signals,2025-09-19,2025-09-22,18.6
P00023-TR03,P00023,Weapons Refresher,2024-10-19,2024-10-23,26.2
P00023-TR04,P00023,Jungle Warfare Refresher,2026-05-13,2026-05-16,21.2
P00023-TR05,P00023,Communications and Signals,2026-01-01,2026-01-08,55.7
P00024-TR01,P00024,Jungle Warfare Refresher,2025-12-20,2025-12-22,14.8
P00024-TR02,P00024,First Response and Trauma Care,2024-12-28,2024-12-29,5.4
P00024-TR03,P00024,Weapons Refresher,2025-02-14,2025-02-16,19.8
P00024-TR04,P00024,First Response and Trauma Care,2026-05-16,2026-05-21,38.2
P00024-TR05,P00024,Physical Efficiency Test Preparation,2025-03-14,2025-03-15,8.0
P00024-TR06,P00024,Jungle Warfare Refresher,2025-05-20,2025-05-24,33.2
P00025-TR01,P00025,Stress Management Workshop,2025-10-12,2025-10-17,41.7
P00025-TR02,P00025,Communications and Signals,2025-08-29,2025-08-31,13.8
P00025-TR03,P00025,Crowd Management,2025-07-11,2025-07-12,10.1
P00025-TR04,P00025,First Response and Trauma Care,2025-03-19,2025-03-20,12.5
P00025-TR05,P00025,Stress Management Workshop,2026-05-07,2026-05-10,26.1
P00025-TR06,P00025,Weapons Refresher,2025-07-29,2025-08-02,26.9
P00025-TR07,P00025,Physical Efficiency Test Preparation,2025-01-30,2025-02-02,21.9
P00025-TR08,P00025,Crowd Management,2024-12-15,2024-12-20,42.1
P00025-TR09,P00025,Stress Management Workshop,2025-02-23,2025-03-01,40.5
P00025-TR10,P00025,Crowd Management,2025-12-25,2025-12-29,35.4
P00025-TR11,P00025,First Response and Trauma Care,2024-09-19,2024-09-22,21.6
P00025-TR12,P00025,Physical Efficiency Test Preparation,2025-02-19,2025-02-20,11.0
P00025-TR13,P00025,Crowd Management,2025-10-25,2025-10-28,21.0
P00026-TR01,P00026,Stress Management Workshop,2025-02-09,2025-02-16,51.0
P00026-TR02,P00026,Crowd Management,2025-10-07,2025-10-08,5.1
P00026-TR03,P00026,First Response and Trauma Care,2025-04-14,2025-04-17,24.4
P00026-TR04,P00026,Communications and Signals,2025-08-25,2025-08-27,18.8
P00026-TR05,P00026,Crowd Management,2025-06-14,2025-06-15,5.5
P00026-TR06,P00026,Weapons Refresher,2026-04-05,2026-04-09,25.7
P00026-TR07,P00026,Counter-IED Awareness,2026-08-02,2026-08-06,24.4
P00026-TR08,P00026,Counter-IED Awareness,2026-08-08,2026-08-11,19.5
P00027-TR01,P00027,Jungle Warfare Refresher,2025-08-05,2025-08-06,10.1
P00027-TR02,P00027,Crowd Management,2026-02-01,2026-02-03,12.2
P00027-TR03,P00027,Weapons Refresher,2025-11-01,2025-11-03,16.6
P00027-TR04,P00027,Weapons Refresher,2025-05-10,2025-05-14,29.8
P00027-TR05,P00027,Crowd Management,2025-10-05,2025-10-08,20.2
P00027-TR06,P00027,Communications and Signals,2026-01-23,2026-01-24,5.8
P00027-TR07,P00027,Crowd Management,2025-10-12,2025-10-17,44.4
P00027-TR08,P00027,Jungle Warfare Refresher,2024-09-28,2024-09-29,9.2
P00027-TR09,P00027,Communications and Signals,2024-10-05,2024-10-11,48.9
P00027-TR10,P00027,Weapons Refresher,2026-02-15,2026-02-18,19.9
P00027-TR11,P00027,Counter-IED Awareness,2026-03-02,2026-03-03,5.3
P00027-TR12,P00027,Physical Efficiency Test Preparation,2024-09-06,2024-09-08,8.5
P00027-TR13,P00027,Crowd Management,2024-11-09,2024-11-11,17.7
P00027-TR14,P00027,Counter-IED Awareness,2024-11-24,2024-11-26,13.3
P00027-TR15,P00027,Stress Management Workshop,2024-12-19,2024-12-21,15.1
P00027-TR16,P00027,First Response and Trauma Care,2025-08-09,2025-08-10,7.8
P00027-TR17,P00027,Counter-IED Awareness,2025-08-25,2025-08-27,12.6
P00027-TR18,P00027,Communications and Signals,2026-05-05,2026-05-06,13.8
P00027-TR19,P00027,Counter-IED Awareness,2026-04-11,2026-04-17,47.2
P00028-TR01,P00028,First Response and Trauma Care,2025-06-01,2025-06-06,35.7
P00028-TR02,P00028,First Response and Trauma Care,2026-08-18,2026-08-25,59.9
P00028-TR03,P00028,Counter-IED Awareness,2026-08-19,2026-08-23,31.5
P00028-TR04,P00028,Stress Management Workshop,2025-09-19,2025-09-21,12.9
P00028-TR05,P00028,Jungle Warfare Refresher,2024-11-29,2024-12-01,15.3
P00028-TR06,P00028,Counter-IED Awareness,2025-04-26,2025-04-30,35.2
P00028-TR07,P00028,Jungle Warfare Refresher,2025-06-12,2025-06-19,50.5
P00028-TR08,P00028,Physical Efficiency Test Preparation,2026-08-26,2026-08-28,12.9
P00028-TR09,P00028,Communications and Signals,2025-09-10,2025-09-13,26.3
P00028-TR10,P00028,First Response and Trauma Care,2025-01-16,2025-01-18,15.4
P00029-TR01,P00029,Jungle Warfare Refresher,2025-06-06,2025-06-08,20.5
P00029-TR02,P00029,Crowd Management,2025-07-17,2025-07-20,26.1
P00029-TR03,P00029,Stress Management Workshop,2026-03-12,2026-03-16,27.8
P00029-TR04,P00029,Stress Management Workshop,2026-08-17,2026-08-19,13.5
P00029-TR05,P00029,Communications and Signals,2025-01-17,2025-01-19,21.8
P00029-TR06,P00029,Crowd Management,2025-11-15,2025-11-17,16.1
P00029-TR07,P00029,Jungle Warfare Refresher,2026-02-04,2026-02-06,14.2
P00030-TR01,P00030,Jungle Warfare Refresher,2025-10-18,2025-10-25,49.2
P00030-TR02,P00030,First Response and Trauma Care,2026-05-28,2026-05-29,10.5
P00030-TR03,P00030,Communications and Signals,2025-08-02,2025-08-06,27.8
P00030-TR04,P00030,First Response and Trauma Care,2025-07-28,2025-08-02,34.8
P00030-TR05,P00030,Stress Management Workshop,2024-10-01,2024-10-05,35.3
P00030-TR06,P00030,Weapons Refresher,2025-12-11,2025-12-15,33.0
P00030-TR07,P00030,First Response and Trauma Care,2025-06-11,2025-06-13,16.0
P00030-TR08,P00030,Counter-IED Awareness,2026-01-13,2026-01-17,34.7
P00030-TR09,P00030,First Response and Trauma Care,2025-12-09,2025-12-14,35.9
P00030-TR10,P00030,First Response and Trauma Care,2026-03-25,2026-03-27,13.7
P00031-TR01,P00031,Counter-IED Awareness,2026-02-04,2026-02-07,25.0
P00031-TR02,P00031,Jungle Warfare Refresher,2025-08-12,2025-08-15,22.6
P00031-TR03,P00031,Physical Efficiency Test Preparation,2025-10-20,2025-10-25,46.6
P00031-TR04,P00031,First Response and Trauma Care,2025-07-17,2025-07-19,10.0
P00031-TR05,P00031,Stress Management Workshop,2026-01-28,2026-01-29,9.3
P00031-TR06,P00031,Jungle Warfare Refresher,2026-04-14,2026-04-15,14.4
P00031-TR07,P00031,Physical Efficiency Test Preparation,2025-05-04,2025-05-05,8.9
P00031-TR08,P00031,Physical Efficiency Test Preparation,2025-01-21,2025-01-24,22.7
P00031-TR09,P00031,First Response and Trauma Care,2025-04-02,2025-04-03,12.2
P00031-TR10,P00031,Counter-IED Awareness,2025-01-09,2025-01-13,32.0
P00031-TR11,P00031,Crowd Management,2025-12-29,2026-01-02,29.7
P00031-TR12,P00031,First Response and Trauma Care,2025-08-29,2025-08-31,16.6
P00031-TR13,P00031,First Response and Trauma Care,2026-03-18,2026-03-23,41.5
P00031-TR14,P00031,Communications and Signals,2025-02-09,2025-02-11,20.5
P00032-TR01,P00032,Stress Management Workshop,2026-03-11,2026-03-19,60.0
P00032-TR02,P00032,Jungle Warfare Refresher,2025-07-26,2025-07-28,21.3
P00032-TR03,P00032,Weapons Refresher,2025-03-12,2025-03-13,13.1
P00032-TR04,P00032,Crowd Management,2025-06-07,2025-06-10,24.1
P00032-TR05,P00032,First Response and Trauma Care,2026-04-19,2026-04-20,11.6
P00032-TR06,P00032,Jungle Warfare Refresher,2026-05-31,2026-06-01,10.9
P00032-TR07,P00032,Crowd Management,2025-08-15,2025-08-17,17.1
P00032-TR08,P00032,Physical Efficiency Test Preparation,2025-09-11,2025-09-17,47.1
P00032-TR09,P00032,Stress Management Workshop,2026-02-24,2026-02-25,8.7
P00032-TR10,P00032,Jungle Warfare Refresher,2024-12-20,2024-12-23,24.5
P00032-TR11,P00032,Counter-IED Awareness,2025-11-25,2025-11-29,32.6
P00032-TR12,P00032,Counter-IED Awareness,2024-09-13,2024-09-17,30.5
P00032-TR13,P00032,Jungle Warfare Refresher,2026-08-10,2026-08-12,18.0
P00032-TR14,P00032,Weapons Refresher,2025-07-02,2025-07-06,28.5
P00033-TR01,P00033,Communications and Signals,2026-03-03,2026-03-04,8.0
P00033-TR02,P00033,Weapons Refresher,2026-01-17,2026-01-18,13.8
P00033-TR03,P00033,Communications and Signals,2025-09-20,2025-09-24,34.7
P00033-TR04,P00033,Counter-IED Awareness,2025-09-02,2025-09-05,29.2
P00033-TR05,P00033,Jungle Warfare Refresher,2025-07-03,2025-07-05,14.3
P00033-TR06,P00033,Weapons Refresher,2024-12-29,2025-01-02,25.9
P00033-TR07,P00033,Communications and Signals,2025-10-24,2025-10-26,19.8
P00033-TR08,P00033,Counter-IED Awareness,2026-06-02,2026-06-04,14.5
P00033-TR09,P00033,Counter-IED Awareness,2026-02-23,2026-03-02,60.0
P00033-TR10,P00033,Weapons Refresher,2025-09-23,2025-09-26,20.2
P00033-TR11,P00033,Communications and Signals,2024-10-19,2024-10-20,6.2
P00033-TR12,P00033,Counter-IED Awareness,2025-10-09,2025-10-11,18.8
P00033-TR13,P00033,Physical Efficiency Test Preparation,2024-11-13,2024-11-17,28.7
P00034-TR01,P00034,Jungle Warfare Refresher,2026-04-19,2026-04-25,41.0
P00034-TR02,P00034,Physical Efficiency Test Preparation,2025-09-09,2025-09-13,38.0
P00034-TR03,P00034,Weapons Refresher,2026-05-23,2026-05-25,10.5
P00034-TR04,P00034,Physical Efficiency Test Preparation,2025-10-25,2025-10-30,41.0
P00034-TR05,P00034,Physical Efficiency Test Preparation,2025-06-13,2025-06-19,49.7
P00034-TR06,P00034,Physical Efficiency Test Preparation,2024-09-23,2024-09-26,26.6
P00034-TR07,P00034,Stress Management Workshop,2026-04-27,2026-05-02,36.3
P00034-TR08,P00034,Jungle Warfare Refresher,2025-11-29,2025-12-03,34.8
P00034-TR09,P00034,Communications and Signals,2025-04-12,2025-04-15,27.3
P00035-TR01,P00035,Communications and Signals,2024-09-14,2024-09-16,23.7
P00035-TR02,P00035,Jungle Warfare Refresher,2024-09-16,2024-09-19,28.2
P00035-TR03,P00035,Jungle Warfare Refresher,2025-11-10,2025-11-12,11.5
P00035-TR04,P00035,Crowd Management,2025-11-23,2025-11-29,48.2
P00035-TR05,P00035,Physical Efficiency Test Preparation,2025-12-17,2025-12-23,45.2
P00035-TR06,P00035,Communications and Signals,2024-10-05,2024-10-07,20.6
P00035-TR07,P00035,Crowd Management,2025-08-31,2025-09-03,22.8
P00035-TR08,P00035,Weapons Refresher,2026-08-18,2026-08-25,56.9
P00035-TR09,P00035,Counter-IED Awareness,2025-12-19,2025-12-21,14.3
P00036-TR01,P00036,Jungle Warfare Refresher,2025-10-10,2025-10-16,46.4
P00036-TR02,P00036,Communications and Signals,2025-11-29,2025-12-04,41.6
P00036-TR03,P00036,Stress Management Workshop,2024-12-08,2024-12-11,31.8
P00036-TR04,P00036,Crowd Management,2025-06-03,2025-06-05,11.3
P00036-TR05,P00036,Counter-IED Awareness,2025-02-01,2025-02-02,6.6
P00036-TR06,P00036,First Response and Trauma Care,2026-07-11,2026-07-13,20.0
