personnel_id,month_start,days_on_duty,total_duty_hours,mean_daily_duty_hours,daily_duty_hours_sd,night_shifts,weekly_offs_entitled,weekly_offs_availed
P00005,2025-01-30,28,358.2,12.79,1.77,7,4,1
P00005,2025-03-02,30,392.4,13.08,1.63,4,4,1
P00005,2025-04-01,28,343.4,12.26,2.06,1,4,0
P00005,2025-05-01,28,356.2,12.72,3.54,3,4,3
P00005,2025-06-01,27,348.3,12.9,4.92,3,4,0
P00005,2025-07-01,27,333.2,12.34,3.89,9,4,1
P00005,2025-08-01,28,370.5,13.23,1.84,1,4,0
P00005,2025-08-31,28,380.2,13.58,2.09,2,4,0
P00005,2025-10-01,27,325.8,12.07,0.71,3,4,0
P00005,2025-10-31,28,389.7,13.92,1.02,0,4,1
P00005,2025-12-01,30,381.5,12.72,1.22,3,4,0
P00005,2025-12-31,28,356.5,12.73,3.24,7,4,2
P00005,2026-01-30,31,387.0,12.48,1.81,1,4,0
P00005,2026-03-02,26,330.3,12.71,0.8,5,4,0
P00005,2026-04-01,28,367.7,13.13,1.74,3,4,2
P00005,2026-05-02,28,392.6,14.02,1.68,5,4,0
P00005,2026-06-01,29,389.5,13.43,0.83,6,4,1
P00005,2026-07-02,28,390.6,13.95,0.94,4,4,2
P00005,2026-08-01,31,408.5,13.18,0.5,7,4,3
P00006,2024-08-31,30,389.8,12.99,0.2,8,4,1
P00006,2024-09-30,28,362.6,12.95,1.81,2,4,1
P00006,2024-10-31,28,356.0,12.71,2.07,2,4,2
P00006,2024-11-30,28,362.5,12.95,1.93,5,4,0
P00006,2024-12-31,28,370.8,13.24,2.04,6,4,1
P00006,2025-01-30,27,338.4,12.53,1.39,8,4,2
P00006,2025-03-02,25,332.7,13.31,0.92,7,4,0
P00006,2025-04-01,28,370.7,13.24,3.5,5,4,2
P00006,2025-05-01,25,318.4,12.74,4.4,5,4,1
P00006,2025-06-01,26,312.8,12.03,0.92,1,4,1
P00006,2025-07-01,29,375.4,12.94,2.4,6,4,0
P00006,2025-08-01,25,314.2,12.57,2.27,6,4,1
P00006,2025-08-31,26,324.7,12.49,0.53,5,4,0
P00006,2025-10-01,25,312.9,12.52,1.51,6,4,1
P00006,2025-10-31,27,318.1,11.78,1.41,2,4,1
P00006,2025-12-01,27,321.7,11.91,2.59,7,4,0
P00006,2025-12-31,27,324.0,12.0,3.77,9,4,1
P00006,2026-01-30,28,345.6,12.34,0.91,4,4,2
P00006,2026-03-02,28,332.1,11.86,1.53,6,4,1
P00006,2026-04-01,26,321.8,12.38,0.78,5,4,0
P00006,2026-05-02,26,302.6,11.64,1.58,5,4,2
P00006,2026-06-01,30,359.2,11.97,3.75,11,4,2
P00006,2026-07-02,27,316.4,11.72,1.28,5,4,1
P00006,2026-08-01,26,328.8,12.65,0.99,3,4,0
P00007,2024-08-31,31,422.8,13.64,1.58,6,4,0
P00007,2024-09-30,27,367.9,13.63,2.12,6,4,0
P00007,2024-10-31,29,398.1,13.73,0.66,10,4,0
P00007,2024-11-30,27,350.1,12.97,1.09,5,4,1
P00007,2024-12-31,29,375.1,12.93,1.7,6,4,1
P00007,2025-01-30,29,397.0,13.69,1.14,10,4,1
P00007,2025-03-02,29,414.9,14.31,1.39,5,4,0
P00007,2025-04-01,30,407.7,13.59,1.52,9,4,0
P00007,2025-05-01,29,387.2,13.35,5.79,5,4,0
P00007,2025-06-01,28,370.7,13.24,1.07,10,4,1
P00007,2025-07-01,29,382.9,13.2,2.78,6,4,1
P00007,2025-08-01,30,384.3,12.81,1.71,8,4,0
P00007,2025-08-31,31,413.0,13.32,6.0,5,4,0
P00007,2025-10-01,28,403.9,14.42,6.0,6,4,1
P00007,2025-10-31,29,384.1,13.24,5.02,6,4,0
P00007,2025-12-01,30,400.7,13.36,1.82,6,4,1
P00007,2025-12-31,26,367.8,14.15,1.31,9,4,0
P00007,2026-01-30,29,385.2,13.28,2.43,6,4,2
P00007,2026-03-02,31,391.1,12.62,3.65,13,4,1
P00007,2026-04-01,28,383.1,13.68,2.67,9,4,1
P00007,2026-05-02,30,400.6,13.35,1.96,5,4,1
P00007,2026-06-01,28,369.9,13.21,2.15,8,4,2
P00007,2026-07-02,27,368.2,13.64,1.49,5,4,1
P00007,2026-08-01,28,365.2,13.04,0.35,7,4,1
P00008,2024-08-31,30,423.5,14.12,2.39,13,4,1
P00008,2024-09-30,31,435.2,14.04,1.62,9,4,1
P00008,2024-10-31,30,435.9,14.53,2.06,5,4,0
P00008,2024-11-30,31,422.8,13.64,1.15,8,4,0
P00008,2024-12-31,31,418.1,13.49,2.14,8,4,0
P00008,2025-01-30,30,397.9,13.26,1.35,7,4,2
P00008,2025-03-02,31,424.3,13.69,5.42,8,4,0
P00008,2025-04-01,30,449.8,14.99,2.16,9,4,1
P00008,2025-05-01,29,423.9,14.62,1.77,6,4,1
P00008,2025-06-01,31,449.9,14.51,1.32,10,4,0
P00008,2025-07-01,29,437.7,15.09,5.85,5,4,1
P00008,2025-08-01,30,458.0,15.27,0.82,6,4,1
P00008,2025-08-31,31,482.8,15.57,3.23,10,4,0
P00008,2025-10-01,29,440.9,15.2,1.83,7,4,0
P00008,2025-10-31,31,480.4,15.5,2.79,4,4,1
P00008,2025-12-01,27,397.9,14.74,4.44,4,4,1
P00008,2025-12-31,28,420.4,15.01,3.49,7,4,0
P00008,2026-01-30,30,446.0,14.87,3.28,4,4,0
P00008,2026-03-02,31,466.1,15.04,2.19,5,4,1
P00008,2026-04-01,29,452.0,15.59,1.65,5,4,2
P00008,2026-05-02,26,402.4,15.48,2.09,7,4,1
P00008,2026-06-01,31,492.7,15.89,0.81,9,4,1
P00008,2026-07-02,26,395.7,15.22,1.01,9,4,1
P00008,2026-08-01,27,417.1,15.45,1.93,10,4,0
P00009,2024-08-31,25,305.0,12.2,3.06,2,4,0
P00009,2024-09-30,26,305.3,11.74,3.64,2,4,1
P00009,2024-10-31,27,313.1,11.59,1.05,6,4,0
P00009,2024-11-30,29,374.3,12.91,1.42,10,4,1
P00009,2024-12-31,26,307.9,11.84,0.88,3,4,1
P00009,2025-01-30,28,340.9,12.17,3.16,3,4,0
P00009,2025-03-02,27,303.2,11.23,0.93,6,4,1
P00009,2025-04-01,29,372.4,12.84,3.44,1,4,1
P00009,2025-05-01,27,314.5,11.65,0.97,2,4,0
P00009,2025-06-01,27,316.0,11.7,1.02,5,4,1
P00009,2025-07-01,30,344.9,11.5,0.6,4,4,2
P00009,2025-08-01,30,345.0,11.5,0.38,3,4,0
P00009,2025-08-31,28,318.7,11.38,0.88,4,4,0
P00009,2025-10-01,27,334.3,12.38,0.84,4,4,2
P00009,2025-10-31,25,305.1,12.21,0.45,1,4,1
P00009,2025-12-01,26,313.0,12.04,0.82,3,4,0
P00009,2025-12-31,26,327.5,12.6,2.02,3,4,1
P00009,2026-01-30,27,331.3,12.27,3.34,7,4,0
P00009,2026-03-02,25,296.1,11.85,2.55,5,4,2
P00009,2026-04-01,29,333.1,11.49,2.59,1,4,0
P00009,2026-05-02,26,297.0,11.42,2.46,4,4,0
P00009,2026-06-01,26,305.3,11.74,1.21,8,4,1
P00009,2026-07-02,27,327.1,12.11,0.74,4,4,1
P00009,2026-08-01,29,350.7,12.09,0.71,4,4,2
P00010,2024-08-31,28,367.9,13.14,5.13,10,4,0
P00010,2024-09-30,28,395.6,14.13,1.79,8,4,1
P00010,2024-10-31,27,371.0,13.74,0.32,6,4,1
P00010,2024-11-30,27,368.6,13.65,1.65,3,4,0
P00010,2024-12-31,29,384.1,13.25,2.39,9,4,0
P00010,2025-01-30,31,408.6,13.18,1.01,6,4,0
P00010,2025-03-02,30,386.7,12.89,6.0,10,4,0
P00010,2025-04-01,27,346.9,12.85,2.44,7,4,0
P00010,2025-05-01,30,392.9,13.1,6.0,9,4,1
P00010,2025-06-01,28,378.3,13.51,6.0,10,4,1
P00010,2025-07-01,29,392.4,13.53,4.45,4,4,1
P00010,2025-08-01,31,423.4,13.66,1.09,5,4,2
P00010,2025-08-31,26,365.3,14.05,4.59,3,4,1
P00010,2025-10-01,28,401.3,14.33,5.45,9,4,1
P00010,2025-10-31,27,375.7,13.91,1.58,6,4,0
P00010,2025-12-01,29,381.7,13.16,3.14,4,4,1
P00010,2025-12-31,30,413.8,13.79,3.15,5,4,0
P00010,2026-01-30,30,416.2,13.87,5.59,7,4,3
P00010,2026-03-02,29,428.1,14.76,1.82,8,4,0
P00010,2026-04-01,28,415.1,14.82,2.21,5,4,0
P00010,2026-05-02,31,469.4,15.14,3.05,4,4,1
P00010,2026-06-01,23,334.4,14.54,0.41,7,4,2
P00010,2026-07-02,31,448.2,14.46,4.87,4,4,2
P00010,2026-08-01,28,391.7,13.99,3.06,4,4,0
P00011,2024-08-31,29,185.0,6.38,1.6,3,4,1
P00011,2024-09-30,26,193.0,7.42,3.86,4,4,2
P00011,2024-10-31,29,231.2,7.97,2.25,3,4,2
P00011,2024-11-30,27,201.9,7.48,3.27,3,4,2
P00011,2024-12-31,30,216.9,7.23,2.05,4,4,3
P00011,2025-01-30,29,207.8,7.17,2.35,4,4,2
P00011,2025-03-02,26,169.9,6.54,0.66,7,4,2
P00011,2025-04-01,27,194.7,7.21,1.68,5,4,2
P00011,2025-05-01,26,189.0,7.27,2.3,3,4,2
P00011,2025-06-01,26,196.8,7.57,2.3,4,4,3
P00011,2025-07-01,27,185.1,6.85,2.19,4,4,3
P00011,2025-08-01,25,198.8,7.95,1.22,3,4,3
P00011,2025-08-31,27,187.4,6.94,1.26,5,4,2
P00011,2025-10-01,28,217.1,7.75,1.92,5,4,1
P00011,2025-10-31,28,202.9,7.25,1.89,3,4,3
P00011,2025-12-01,25,175.7,7.03,0.75,6,4,1
P00011,2025-12-31,28,189.5,6.77,3.89,1,4,2
P00011,2026-01-30,24,183.1,7.63,4.9,0,4,3
P00011,2026-03-02,26,188.7,7.26,0.34,1,4,0
P00011,2026-04-01,27,196.2,7.27,0.25,3,4,3
P00011,2026-05-02,27,184.9,6.85,2.97,8,4,3
P00011,2026-06-01,28,189.1,6.75,1.48,0,4,3
P00011,2026-07-02,29,188.9,6.51,0.29,1,4,1
P00011,2026-08-01,27,184.8,6.84,1.32,4,4,1
P00012,2024-08-31,26,342.1,13.16,2.17,6,4,0
P00012,2024-09-30,29,377.5,13.02,2.9,7,4,0
P00012,2024-10-31,30,403.6,13.45,1.53,5,4,0
P00012,2024-11-30,29,382.5,13.19,0.64,6,4,2
P00012,2024-12-31,30,409.8,13.66,2.16,4,4,1
P00012,2025-01-30,31,415.1,13.39,3.9,8,4,0
P00012,2025-03-02,28,370.4,13.23,3.11,5,4,1
P00012,2025-04-01,29,398.0,13.72,1.0,5,4,1
P00012,2025-05-01,28,363.9,13.0,2.31,3,4,2
P00012,2025-06-01,30,377.2,12.57,0.62,5,4,1
P00012,2025-07-01,29,373.0,12.86,2.48,7,4,2
P00012,2025-08-01,27,348.6,12.91,0.67,3,4,0
P00012,2025-08-31,29,382.2,13.18,1.52,4,4,0
P00012,2025-10-01,25,308.9,12.36,2.55,6,4,2
P00012,2025-10-31,27,348.8,12.92,3.59,10,4,0
P00012,2025-12-01,30,381.9,12.73,1.09,7,4,0
P00012,2025-12-31,28,361.1,12.9,2.6,7,4,1
P00012,2026-01-30,31,392.4,12.66,1.53,5,4,1
P00012,2026-03-02,26,340.9,13.11,1.29,4,4,1
P00012,2026-04-01,27,354.2,13.12,3.03,6,4,3
P00012,2026-05-02,30,389.9,13.0,2.08,6,4,1
P00012,2026-06-01,28,360.9,12.89,2.55,5,4,1
P00012,2026-07-02,28,375.1,13.4,1.84,1,4,1
P00012,2026-08-01,27,346.9,12.85,1.85,6,4,0
P00013,2024-08-31,27,335.8,12.44,3.69,9,4,2
P00013,2024-09-30,27,349.7,12.95,4.21,1,4,0
P00013,2024-10-31,29,365.6,12.61,0.72,9,4,0
P00013,2024-11-30,28,368.7,13.17,3.78,6,4,1
P00013,2024-12-31,28,365.3,13.04,0.67,6,4,1
P00013,2025-01-30,26,348.1,13.39,2.65,5,4,0
P00013,2025-03-02,28,370.8,13.24,1.31,8,4,0
P00013,2025-04-01,29,371.2,12.8,1.05,9,4,1
P00013,2025-05-01,30,378.9,12.63,0.76,3,4,0
P00013,2025-06-01,28,359.6,12.84,1.18,4,4,0
P00013,2025-07-01,27,357.2,13.23,1.7,7,4,0
P00013,2025-08-01,28,381.9,13.64,2.54,7,4,1
P00013,2025-08-31,29,397.3,13.7,1.94,3,4,0
P00013,2025-10-01,31,425.1,13.71,0.72,4,4,0
P00013,2025-10-31,29,393.3,13.56,1.48,6,4,0
P00013,2025-12-01,29,382.6,13.19,3.53,7,4,1
P00013,2025-12-31,29,390.7,13.47,3.59,4,4,1
P00013,2026-01-30,28,382.3,13.65,6.0,2,4,0
P00013,2026-03-02,26,342.0,13.16,1.16,5,4,2
P00013,2026-04-01,27,357.6,13.25,2.89,3,4,0
P00013,2026-05-02,29,382.0,13.17,2.62,3,4,0
P00013,2026-06-01,27,385.0,14.26,3.08,7,4,1
P00013,2026-07-02,28,390.8,13.96,0.4,4,4,1
P00013,2026-08-01,27,356.7,13.21,2.63,6,4,1
P00014,2024-08-31,27,205.8,7.62,0.79,7,4,2
P00014,2024-09-30,27,212.1,7.85,0.97,4,4,0
P00014,2024-10-31,28,200.2,7.15,2.6,6,4,2
P00014,2024-11-30,29,226.8,7.82,2.08,1,4,2
P00014,2024-12-31,30,220.0,7.33,3.64,1,4,2
P00014,2025-01-30,29,206.9,7.13,1.61,2,4,3
P00014,2025-03-02,28,237.6,8.48,1.77,10,4,2
P00014,2025-04-01,25,206.9,8.28,1.71,10,4,2
P00014,2025-05-01,26,202.1,7.77,0.96,3,4,4
P00014,2025-06-01,29,236.2,8.14,2.43,5,4,0
P00014,2025-07-01,26,207.4,7.98,2.93,4,4,3
P00014,2025-08-01,29,229.5,7.91,0.47,8,4,2
P00014,2025-08-31,28,218.4,7.8,0.97,5,4,3
P00014,2025-10-01,27,222.0,8.22,0.33,2,4,2
P00014,2025-10-31,26,219.1,8.43,1.84,3,4,2
P00014,2025-12-01,31,253.5,8.18,1.25,4,4,2
P00014,2025-12-31,28,227.0,8.11,1.94,8,4,1
P00014,2026-01-30,26,211.8,8.15,2.99,7,4,2
P00014,2026-03-02,28,216.5,7.73,4.99,7,4,3
P00014,2026-04-01,26,200.9,7.73,2.01,4,4,1
P00014,2026-05-02,27,215.6,7.99,3.13,5,4,3
P00014,2026-06-01,27,220.7,8.17,3.47,4,4,4
P00014,2026-07-02,28,227.5,8.13,1.61,0,4,2
P00014,2026-08-01,28,241.6,8.63,1.45,5,4,2
P00015,2024-08-31,25,335.5,13.42,3.01,5,4,1
P00015,2024-09-30,27,347.7,12.88,1.69,4,4,1
P00015,2024-10-31,28,375.4,13.41,4.5,4,4,0
P00015,2024-11-30,26,349.0,13.42,5.46,6,4,1
P00015,2024-12-31,28,371.6,13.27,2.1,6,4,2
P00015,2025-01-30,31,413.8,13.35,0.41,8,4,2
P00015,2025-03-02,29,394.6,13.61,1.48,4,4,1
P00015,2025-04-01,29,395.8,13.65,2.83,7,4,0
P00015,2025-05-01,26,350.0,13.46,0.4,3,4,1
P00015,2025-06-01,29,402.0,13.86,2.84,4,4,1
P00015,2025-07-01,28,385.8,13.78,0.97,8,4,0
P00015,2025-08-01,25,353.5,14.14,1.81,11,4,1
P00015,2025-08-31,25,359.4,14.37,2.27,7,4,0
P00015,2025-10-01,28,398.5,14.23,1.02,6,4,2
P00015,2025-10-31,27,358.5,13.28,0.55,5,4,1
P00015,2025-12-01,31,442.5,14.28,1.03,7,4,1
P00015,2025-12-31,28,404.9,14.46,0.42,5,4,1
P00015,2026-01-30,29,422.7,14.58,1.75,5,4,1
P00015,2026-03-02,28,398.1,14.22,4.89,4,4,2
P00015,2026-04-01,25,356.9,14.28,0.79,5,4,1
P00015,2026-05-02,25,362.3,14.49,0.61,4,4,1
P00015,2026-06-01,31,439.7,14.19,1.79,6,4,1
P00015,2026-07-02,30,431.0,14.37,2.07,1,4,2
P00015,2026-08-01,29,434.0,14.97,2.34,3,4,1
P00016,2024-08-31,30,398.5,13.28,1.34,4,4,0
P00016,2024-09-30,27,346.6,12.84,3.16,8,4,0
P00016,2024-10-31,31,420.4,13.56,1.43,5,4,2
P00016,2024-11-30,29,409.1,14.11,0.99,9,4,1
P00016,2024-12-31,28,380.0,13.57,1.13,4,4,1
P00016,2025-01-30,29,402.1,13.86,0.65,6,4,0
P00016,2025-03-02,27,357.6,13.25,3.28,10,4,0
P00016,2025-04-01,25,349.8,13.99,0.65,3,4,1
P00016,2025-05-01,27,358.6,13.28,5.73,7,4,0
P00016,2025-06-01,30,393.5,13.12,1.91,6,4,1
P00016,2025-07-01,28,378.9,13.53,3.12,14,4,1
P00016,2025-08-01,31,393.9,12.71,3.15,10,4,0
P00016,2025-08-31,30,379.8,12.66,2.47,3,4,0
P00016,2025-10-01,28,366.2,13.08,2.07,14,4,1
P00016,2025-10-31,30,390.3,13.01,5.22,9,4,2
P00016,2025-12-01,29,375.5,12.95,0.46,6,4,1
P00016,2025-12-31,27,338.1,12.52,3.15,9,4,2
P00016,2026-01-30,31,396.7,12.8,3.37,6,4,0
P00016,2026-03-02,28,361.2,12.9,2.3,8,4,4
P00016,2026-04-01,29,382.4,13.19,1.77,4,4,0
P00016,2026-05-02,28,365.9,13.07,0.47,5,4,0
P00016,2026-06-01,30,371.8,12.39,4.95,2,4,1
P00016,2026-07-02,27,357.2,13.23,3.57,11,4,0
P00016,2026-08-01,25,332.2,13.29,0.48,4,4,0
P00017,2024-08-31,26,323.6,12.45,0.56,4,4,0
P00017,2024-09-30,28,366.3,13.08,1.62,4,4,0
P00017,2024-10-31,25,327.2,13.09,1.42,8,4,1
P00017,2024-11-30,28,372.7,13.31,1.19,3,4,0
P00017,2024-12-31,25,325.5,13.02,0.77,5,4,0
P00017,2025-01-30,28,348.7,12.45,0.56,5,4,1
P00017,2025-03-02,31,394.7,12.73,2.38,5,4,0
P00017,2025-04-01,28,354.5,12.66,5.05,6,4,0
P00017,2025-05-01,29,362.4,12.49,2.16,3,4,4
P00017,2025-06-01,28,335.0,11.97,3.86,4,4,1
P00017,2025-07-01,27,315.6,11.69,2.53,3,4,0
P00017,2025-08-01,28,344.9,12.32,1.07,4,4,1
P00017,2025-08-31,29,348.7,12.03,4.58,5,4,0
P00017,2025-10-01,28,360.3,12.87,1.01,3,4,0
P00017,2025-10-31,28,345.1,12.32,0.94,1,4,1
P00017,2025-12-01,27,352.6,13.06,4.72,2,4,0
P00017,2025-12-31,28,361.2,12.9,4.6,1,4,2
P00017,2026-01-30,29,370.8,12.79,2.27,4,4,0
P00017,2026-03-02,26,330.7,12.72,0.58,1,4,1
P00017,2026-04-01,27,344.2,12.75,1.43,2,4,1
P00017,2026-05-02,24,293.3,12.22,1.21,4,4,1
P00017,2026-06-01,29,346.1,11.94,1.28,5,4,0
P00017,2026-07-02,26,313.0,12.04,1.78,5,4,1
P00017,2026-08-01,28,358.9,12.82,2.61,5,4,1
P00018,2024-08-31,28,363.6,12.99,4.08,4,4,0
P00018,2024-09-30,27,348.7,12.92,1.79,7,4,1
P00018,2024-10-31,28,377.5,13.48,1.08,5,4,1
P00018,2024-11-30,26,353.9,13.61,0.39,5,4,0
P00018,2024-12-31,29,389.9,13.45,1.48,1,4,2
P00018,2025-01-30,28,386.7,13.81,0.49,2,4,0
P00018,2025-03-02,29,396.2,13.66,0.92,5,4,2
P00018,2025-04-01,28,380.9,13.6,1.98,6,4,0
P00018,2025-05-01,29,401.6,13.85,0.3,4,4,0
P00018,2025-06-01,31,453.3,14.62,1.21,5,4,0
P00018,2025-07-01,29,426.7,14.71,3.12,9,4,2
P00018,2025-08-01,27,388.0,14.37,0.72,5,4,0
P00018,2025-08-31,30,426.4,14.21,2.3,5,4,2
P00018,2025-10-01,29,409.3,14.11,0.2,6,4,0
P00018,2025-10-31,28,417.8,14.92,1.16,5,4,0
P00018,2025-12-01,29,405.3,13.97,1.66,5,4,1
P00018,2025-12-31,29,404.5,13.95,1.7,2,4,1
P00018,2026-01-30,27,376.0,13.93,0.99,7,4,1
P00018,2026-03-02,27,369.9,13.7,1.66,7,4,2
P00018,2026-04-01,26,372.2,14.32,2.83,5,4,1
P00018,2026-05-02,29,419.0,14.45,4.45,5,4,1
P00018,2026-06-01,27,385.8,14.29,0.58,3,4,0
P00018,2026-07-02,31,443.8,14.32,1.16,4,4,1
P00018,2026-08-01,28,378.3,13.51,1.95,4,4,0
P00019,2024-08-31,27,365.1,13.52,2.92,8,4,1
P00019,2024-09-30,28,350.3,12.51,3.13,6,4,0
P00019,2024-10-31,31,370.3,11.95,0.45,5,4,2
P00019,2024-11-30,30,372.1,12.4,0.84,6,4,1
P00019,2024-12-31,28,353.0,12.61,5.52,6,4,1
P00019,2025-01-30,28,342.2,12.22,0.56,1,4,1
P00019,2025-03-02,25,312.0,12.48,0.5,6,4,0
P00019,2025-04-01,30,378.0,12.6,1.86,9,4,1
P00019,2025-05-01,29,330.1,11.38,0.2,4,4,2
P00019,2025-06-01,27,316.6,11.73,1.26,3,4,1
P00019,2025-07-01,30,358.4,11.95,2.84,3,4,2
P00019,2025-08-01,25,286.3,11.45,1.53,4,4,2
P00019,2025-08-31,28,317.5,11.34,0.8,2,4,0
P00019,2025-10-01,27,328.9,12.18,1.39,5,4,0
