deployment_id,personnel_id,unit_id,location_type,deployment_type,start_date,end_date,is_current
P00007-D007,P00007,U015,static_station,static,2019-10-07,2021-06-18,False
P00007-D008,P00007,U015,field,operational,2018-08-04,2019-10-06,False
P00008-D001,P00008,U015,hard_area,operational,2026-03-16,,True
P00008-D002,P00008,U015,static_station,operational,2025-11-13,2026-03-15,False
P00008-D003,P00008,U015,static_station,training,2025-01-13,2025-11-12,False
P00009-D001,P00009,U007,static_station,static,2024-10-31,,True
P00009-D002,P00009,U007,static_station,training,2023-11-18,2024-10-30,False
P00009-D003,P00009,U007,field,static,2022-04-09,2023-11-17,False
P00010-D001,P00010,U006,field,operational,2024-11-30,,True
P00010-D002,P00010,U006,field,static,2024-07-30,2024-11-29,False
P00010-D003,P00010,U006,field,training,2023-03-16,2024-07-29,False
P00010-D004,P00010,U006,static_station,static,2022-04-16,2023-03-15,False
P00010-D005,P00010,U006,hard_area,training,2021-04-21,2022-04-15,False
P00011-D001,P00011,U007,static_station,static,2026-01-08,,True
P00011-D002,P00011,U007,static_station,static,2024-08-07,2026-01-07,False
P00011-D003,P00011,U007,field,training,2023-08-11,2024-08-06,False
P00011-D004,P00011,U007,field,operational,2022-05-30,2023-08-10,False
P00011-D005,P00011,U007,hard_area,training,2021-02-09,2022-05-29,False
P00011-D006,P00011,U007,field,static,2018-08-17,2021-02-08,False
P00011-D007,P00011,U007,field,static,2017-03-09,2018-08-16,False
P00011-D008,P00011,U007,field,training,2014-12-28,2017-03-08,False
P00012-D001,P00012,U001,static_station,operational,2025-08-19,,True
P00012-D002,P00012,U001,hard_area,training,2024-02-19,2025-08-18,False
P00012-D003,P00012,U001,field,static,2022-02-02,2024-02-18,False
P00012-D004,P00012,U001,field,operational,2020-04-07,2022-02-01,False
P00012-D005,P00012,U001,hard_area,static,2018-12-01,2020-04-06,False
P00012-D006,P00012,U001,field,static,2017-04-24,2018-11-30,False
P00012-D007,P00012,U001,static_station,operational,2016-04-12,2017-04-23,False
P00012-D008,P00012,U001,field,static,2015-04-23,2016-04-11,False
P00013-D001,P00013,U013,field,operational,2024-10-18,,True
P00013-D002,P00013,U013,field,training,2023-10-29,2024-10-17,False
P00013-D003,P00013,U013,static_station,static,2022-11-19,2023-10-28,False
P00014-D001,P00014,U004,static_station,static,2024-04-23,,True
P00014-D002,P00014,U004,hard_area,operational,2022-11-20,2024-04-22,False
P00014-D003,P00014,U004,field,training,2022-04-05,2022-11-19,False
P00014-D004,P00014,U004,hard_area,static,2021-02-26,2022-04-04,False
P00014-D005,P00014,U004,field,static,2020-01-07,2021-02-25,False
P00014-D006,P00014,U004,hard_area,operational,2019-07-23,2020-01-06,False
P00015-D001,P00015,U008,field,operational,2026-02-10,,True
P00015-D002,P00015,U008,static_station,training,2023-12-26,2026-02-09,False
P00016-D001,P00016,U016,field,operational,2025-08-22,,True
P00016-D002,P00016,U016,field,static,2024-07-21,2025-08-21,False
P00016-D003,P00016,U016,hard_area,operational,2023-04-19,2024-07-20,False
P00016-D004,P00016,U016,static_station,training,2021-12-23,2023-04-18,False
P00016-D005,P00016,U016,field,static,2021-04-15,2021-12-22,False
P00016-D006,P00016,U016,static_station,static,2020-06-29,2021-04-14,False
P00017-D001,P00017,U003,static_station,static,2024-11-14,,True
P00017-D002,P00017,U003,static_station,training,2022-10-08,2024-11-13,False
P00017-D003,P00017,U003,hard_area,static,2022-01-30,2022-10-07,False
P00017-D004,P00017,U003,static_station,operational,2019-08-17,2022-01-29,False
P00017-D005,P00017,U003,static_station,static,2018-07-01,2019-08-16,False
P00017-D006,P00017,U003,static_station,operational,2016-08-29,2018-06-30,False
P00017-D007,P00017,U003,field,static,2015-07-08,2016-08-28,False
P00017-D008,P00017,U003,hard_area,operational,2014-04-26,2015-07-07,False
P00018-D001,P00018,U003,static_station,static,2024-08-25,,True
P00019-D001,P00019,U009,field,static,2023-07-28,,True
P00019-D002,P00019,U009,field,training,2022-03-09,2023-07-27,False
P00019-D003,P00019,U009,field,training,2021-05-05,2022-03-08,False
P00019-D004,P00019,U009,hard_area,training,2020-09-03,2021-05-04,False
P00019-D005,P00019,U009,hard_area,operational,2019-12-13,2020-09-02,False
P00020-D001,P00020,U012,field,operational,2024-05-01,,True
P00020-D002,P00020,U012,field,static,2023-07-16,2024-04-30,False
P00020-D003,P00020,U012,field,training,2022-03-24,2023-07-15,False
P00020-D004,P00020,U012,static_station,operational,2021-04-06,2022-03-23,False
P00020-D005,P00020,U012,field,operational,2020-11-03,2021-04-05,False
P00021-D001,P00021,U015,hard_area,operational,2026-04-10,,True
P00021-D002,P00021,U015,field,static,2025-04-19,2026-04-09,False
P00021-D003,P00021,U015,static_station,training,2024-12-07,2025-04-18,False
P00021-D004,P00021,U015,hard_area,training,2023-12-27,2024-12-06,False
P00021-D005,P00021,U015,hard_area,static,2022-05-29,2023-12-26,False
P00021-D006,P00021,U015,static_station,operational,2020-11-11,2022-05-28,False
P00021-D007,P00021,U015,static_station,static,2019-11-24,2020-11-10,False
P00021-D008,P00021,U015,static_station,static,2019-03-27,2019-11-23,False
P00022-D001,P00022,U007,static_station,static,2025-03-14,,True
P00022-D002,P00022,U007,hard_area,static,2024-11-11,2025-03-13,False
P00022-D003,P00022,U007,field,operational,2023-05-19,2024-11-10,False
P00022-D004,P00022,U007,hard_area,operational,2020-10-25,2023-05-18,False
P00022-D005,P00022,U007,field,operational,2018-11-15,2020-10-24,False
P00022-D006,P00022,U007,hard_area,operational,2017-07-28,2018-11-14,False
P00022-D007,P00022,U007,hard_area,training,2016-07-02,2017-07-27,False
P00022-D008,P00022,U007,hard_area,static,2015-11-19,2016-07-01,False
P00023-D001,P00023,U014,hard_area,static,2023-06-05,,True
P00023-D002,P00023,U014,field,static,2021-08-06,2023-06-04,False
P00023-D003,P00023,U014,static_station,static,2020-01-29,2021-08-05,False
P00023-D004,P00023,U014,static_station,training,2019-07-21,2020-01-28,False
P00024-D001,P00024,U010,hard_area,operational,2025-03-01,,True
P00024-D002,P00024,U010,hard_area,operational,2024-05-14,2025-02-28,False
P00025-D001,P00025,U014,static_station,static,2023-10-19,,True
P00025-D002,P00025,U014,hard_area,static,2022-10-24,2023-10-18,False
P00025-D003,P00025,U014,static_station,operational,2022-01-28,2022-10-23,False
P00025-D004,P00025,U014,field,training,2020-02-23,2022-01-27,False
P00025-D005,P00025,U014,field,static,2019-06-01,2020-02-22,False
P00025-D006,P00025,U014,field,training,2018-04-23,2019-05-31,False
P00025-D007,P00025,U014,hard_area,static,2016-07-26,2018-04-22,False
P00025-D008,P00025,U014,hard_area,training,2015-03-14,2016-07-25,False
P00026-D001,P00026,U016,field,operational,2025-10-16,,True
P00026-D002,P00026,U016,hard_area,operational,2025-02-16,2025-10-15,False
P00026-D003,P00026,U016,static_station,operational,2024-03-23,2025-02-15,False
P00026-D004,P00026,U016,field,training,2022-12-09,2024-03-22,False
P00026-D005,P00026,U016,field,training,2021-01-16,2022-12-08,False
P00026-D006,P00026,U016,field,operational,2020-05-14,2021-01-15,False
P00026-D007,P00026,U016,hard_area,training,2019-07-20,2020-05-13,False
P00026-D008,P00026,U016,field,training,2018-12-09,2019-07-19,False
P00027-D001,P00027,U011,hard_area,operational,2024-03-06,,True
P00027-D002,P00027,U011,hard_area,static,2023-10-22,2024-03-05,False
P00028-D001,P00028,U010,hard_area,operational,2025-04-10,,True
P00028-D002,P00028,U010,static_station,static,2023-07-01,2025-04-09,False
P00028-D003,P00028,U010,hard_area,training,2022-04-25,2023-06-30,False
P00028-D004,P00028,U010,field,static,2021-06-28,2022-04-24,False
P00028-D005,P00028,U010,hard_area,training,2020-05-13,2021-06-27,False
P00029-D001,P00029,U009,static_station,static,2024-08-01,,True
P00029-D002,P00029,U009,field,static,2023-08-12,2024-07-31,False
P00029-D003,P00029,U009,hard_area,static,2022-01-27,2023-08-11,False
P00029-D004,P00029,U009,static_station,training,2020-10-01,2022-01-26,False
P00029-D005,P00029,U009,hard_area,static,2019-07-14,2020-09-30,False
P00029-D006,P00029,U009,static_station,static,2018-03-15,2019-07-13,False
P00029-D007,P00029,U009,field,static,2016-09-04,2018-03-14,False
P00029-D008,P00029,U009,static_station,operational,2015-05-31,2016-09-03,False
P00030-D001,P00030,U016,static_station,operational,2026-03-07,,True
P00030-D002,P00030,U016,static_station,training,2024-11-28,2026-03-06,False
P00030-D003,P00030,U016,field,operational,2023-12-30,2024-11-27,False
P00031-D001,P00031,U006,hard_area,operational,2024-10-04,,True
P00031-D002,P00031,U006,hard_area,static,2024-02-11,2024-10-03,False
P00031-D003,P00031,U006,static_station,static,2023-10-12,2024-02-10,False
P00031-D004,P00031,U006,hard_area,static,2023-06-11,2023-10-11,False
P00031-D005,P00031,U006,hard_area,static,2022-08-09,2023-06-10,False
P00031-D006,P00031,U006,static_station,operational,2021-11-10,2022-08-08,False
P00031-D007,P00031,U006,field,training,2020-11-13,2021-11-09,False
P00031-D008,P00031,U006,hard_area,static,2020-06-28,2020-11-12,False
P00032-D001,P00032,U006,hard_area,operational,2025-08-02,,True
P00032-D002,P00032,U006,hard_area,training,2025-04-01,2025-08-01,False
P00032-D003,P00032,U006,static_station,static,2024-07-09,2025-03-31,False
P00032-D004,P00032,U006,hard_area,operational,2023-02-06,2024-07-08,False
P00032-D005,P00032,U006,static_station,training,2020-12-05,2023-02-05,False
P00032-D006,P00032,U006,field,static,2020-03-20,2020-12-04,False
P00032-D007,P00032,U006,hard_area,training,2018-08-12,2020-03-19,False
P00032-D008,P00032,U006,field,training,2018-01-17,2018-08-11,False
P00033-D001,P00033,U014,field,static,2025-09-26,,True
P00033-D002,P00033,U014,hard_area,training,2024-03-30,2025-09-25,False
P00033-D003,P00033,U014,hard_area,operational,2023-06-29,2024-03-29,False
P00034-D001,P00034,U012,hard_area,operational,2024-12-06,,True
P00034-D002,P00034,U012,hard_area,training,2023-01-24,2024-12-05,False
P00034-D003,P00034,U012,hard_area,operational,2022-09-14,2023-01-23,False
P00034-D004,P00034,U012,hard_area,operational,2021-10-02,2022-09-13,False
P00035-D001,P00035,U002,hard_area,operational,2026-04-08,,True
P00035-D002,P00035,U002,static_station,training,2024-03-16,2026-04-07,False
P00035-D003,P00035,U002,hard_area,training,2022-11-24,2024-03-15,False
P00036-D001,P00036,U014,hard_area,static,2024-07-05,,True
P00036-D002,P00036,U014,hard_area,operational,2022-06-22,2024-07-04,False
P00036-D003,P00036,U014,static_station,training,2020-05-02,2022-06-21,False
P00036-D004,P00036,U014,field,operational,2018-09-11,2020-05-01,False
P00036-D005,P00036,U014,hard_area,training,2017-03-31,2018-09-10,False
P00036-D006,P00036,U014,field,training,2016-11-28,2017-03-30,False
P00036-D007,P00036,U014,field,static,2015-11-14,2016-11-27,False
P00036-D008,P00036,U014,hard_area,static,2014-08-10,2015-11-13,False
P00037-D001,P00037,U003,field,static,2025-09-08,,True
P00037-D002,P00037,U003,static_station,training,2025-03-19,2025-09-07,False
P00038-D001,P00038,U016,field,operational,2024-02-07,,True
P00038-D002,P00038,U016,static_station,static,2023-04-20,2024-02-06,False
P00038-D003,P00038,U016,field,static,2021-10-10,2023-04-19,False
P00038-D004,P00038,U016,hard_area,operational,2021-01-27,2021-10-09,False
P00038-D005,P00038,U016,hard_area,static,2020-01-06,2021-01-26,False
P00038-D006,P00038,U016,hard_area,static,2019-09-06,2020-01-05,False
P00038-D007,P00038,U016,static_station,training,2018-03-16,2019-09-05,False
P00039-D001,P00039,U004,field,static,2023-07-11,,True
P00039-D002,P00039,U004,static_station,static,2022-02-21,2023-07-10,False
P00039-D003,P00039,U004,field,static,2020-09-06,2022-02-20,False
P00039-D004,P00039,U004,hard_area,static,2019-04-16,2020-09-05,False
P00039-D005,P00039,U004,static_station,static,2017-07-05,2019-04-15,False
P00039-D006,P00039,U004,hard_area,static,2016-12-14,2017-07-04,False
P00040-D001,P00040,U012,hard_area,operational,2025-01-23,,True
P00040-D002,P00040,U012,hard_area,static,2024-02-15,2025-01-22,False
P00041-D001,P00041,U001,static_station,operational,2023-12-18,,True
P00041-D002,P00041,U001,field,static,2023-07-28,2023-12-17,False
P00041-D003,P00041,U001,static_station,operational,2021-10-17,2023-07-27,False
P00041-D004,P00041,U001,hard_area,training,2020-08-25,2021-10-16,False
P00041-D005,P00041,U001,static_station,operational,2019-12-23,2020-08-24,False
P00041-D006,P00041,U001,hard_area,static,2018-12-24,2019-12-22,False
P00041-D007,P00041,U001,field,training,2018-01-05,2018-12-23,False
P00041-D008,P00041,U001,field,training,2016-08-07,2018-01-04,False
P00042-D001,P00042,U015,hard_area,operational,2024-12-04,,True
P00042-D002,P00042,U015,static_station,static,2024-05-16,2024-12-03,False
P00042-D003,P00042,U015,field,operational,2023-10-04,2024-05-15,False
P00042-D004,P00042,U015,field,operational,2022-06-25,2023-10-03,False
P00042-D005,P00042,U015,hard_area,static,2020-12-05,2022-06-24,False
P00042-D006,P00042,U015,static_station,training,2020-08-04,2020-12-04,False
P00043-D001,P00043,U010,hard_area,operational,2024-12-18,,True
P00043-D002,P00043,U010,field,operational,2023-11-15,2024-12-17,False
P00043-D003,P00043,U010,field,static,2022-04-24,2023-11-14,False
P00044-D001,P00044,U003,field,static,2025-03-20,,True
P00044-D002,P00044,U003,field,operational,2023-12-11,2025-03-19,False
P00044-D003,P00044,U003,hard_area,static,2022-04-21,2023-12-10,False
P00044-D004,P00044,U003,static_station,static,2021-06-07,2022-04-20,False
P00044-D005,P00044,U003,field,operational,2020-06-06,2021-06-06,False
P00044-D006,P00044,U003,static_station,training,2019-05-28,2020-06-05,False
P00045-D001,P00045,U003,static_station,static,2024-09-22,,True
P00045-D002,P00045,U003,hard_area,operational,2024-01-08,2024-09-21,False
P00045-D003,P00045,U003,static_station,static,2022-12-04,2024-01-07,False
P00045-D004,P00045,U003,hard_area,training,2021-06-30,2022-12-03,False
P00045-D005,P00045,U003,field,training,2021-02-27,2021-06-29,False
P00045-D006,P00045,U003,hard_area,operational,2019-06-15,2021-02-26,False
P00046-D001,P00046,U007,static_station,static,2026-07-29,,True
P00046-D002,P00046,U007,static_station,static,2025-09-12,2026-07-28,False
P00046-D003,P00046,U007,hard_area,operational,2024-11-30,2025-09-11,False
P00046-D004,P00046,U007,hard_area,training,2024-04-10,2024-11-29,False
P00046-D005,P00046,U007,static_station,operational,2022-06-12,2024-04-09,False
P00046-D006,P00046,U007,hard_area,operational,2021-06-25,2022-06-11,False
P00046-D007,P00046,U007,static_station,training,2020-06-17,2021-06-24,False
P00046-D008,P00046,U007,static_station,training,2019-08-18,2020-06-16,False
P00047-D001,P00047,U012,hard_area,operational,2025-04-11,,True
P00047-D002,P00047,U012,static_station,training,2024-04-16,2025-04-10,False
P00047-D003,P00047,U012,hard_area,static,2023-05-20,2024-04-15,False
P00047-D004,P00047,U012,field,static,2022-09-04,2023-05-19,False
P00047-D005,P00047,U012,hard_area,training,2021-08-18,2022-09-03,False
P00047-D006,P00047,U012,hard_area,static,2019-09-10,2021-08-17,False
P00047-D007,P00047,U012,hard_area,operational,2018-03-23,2019-09-09,False
P00047-D008,P00047,U012,static_station,training,2017-09-10,2018-03-22,False
P00048-D001,P00048,U016,hard_area,operational,2024-02-16,,True
P00048-D002,P00048,U016,static_station,static,2022-08-07,2024-02-15,False
P00048-D003,P00048,U016,static_station,static,2021-09-28,2022-08-06,False
P00049-D001,P00049,U003,static_station,static,2026-04-12,,True
P00049-D002,P00049,U003,static_station,training,2024-07-15,2026-04-11,False
P00049-D003,P00049,U003,static_station,static,2022-06-08,2024-07-14,False
P00049-D004,P00049,U003,field,static,2021-01-29,2022-06-07,False
P00049-D005,P00049,U003,field,training,2019-12-08,2021-01-28,False
P00049-D006,P00049,U003,static_station,training,2017-10-19,2019-12-07,False
P00049-D007,P00049,U003,hard_area,training,2016-07-05,2017-10-18,False
P00049-D008,P00049,U003,static_station,operational,2015-05-31,2016-07-04,False
P00050-D001,P00050,U013,hard_area,operational,2025-11-10,,True
P00050-D002,P00050,U013,static_station,training,2024-03-07,2025-11-09,False
P00050-D003,P00050,U013,hard_area,training,2021-12-06,2024-03-06,False
P00050-D004,P00050,U013,hard_area,operational,2021-04-21,2021-12-05,False
P00051-D001,P00051,U001,field,operational,2024-03-02,,True
P00051-D002,P00051,U001,hard_area,training,2022-05-11,2024-03-01,False
P00051-D003,P00051,U001,hard_area,static,2020-06-09,2022-05-10,False
P00051-D004,P00051,U001,field,static,2019-12-06,2020-06-08,False
P00051-D005,P00051,U001,field,training,2017-11-01,2019-12-05,False
P00051-D006,P00051,U001,field,operational,2016-10-21,2017-10-31,False
P00051-D007,P00051,U001,hard_area,operational,2015-12-27,2016-10-20,False
P00052-D001,P00052,U016,hard_area,operational,2025-01-09,,True
P00052-D002,P00052,U016,hard_area,training,2024-05-27,2025-01-08,False
P00052-D003,P00052,U016,hard_area,static,2023-04-16,2024-05-26,False
P00052-D004,P00052,U016,field,training,2022-05-04,2023-04-15,False
P00052-D005,P00052,U016,field,static,2020-10-11,2022-05-03,False
P00052-D006,P00052,U016,static_station,operational,2020-02-25,2020-10-10,False
P00052-D007,P00052,U016,hard_area,static,2018-11-29,2020-02-24,False
P00052-D008,P00052,U016,hard_area,static,2018-01-31,2018-11-28,False
P00053-D001,P00053,U011,field,operational,2025-10-31,,True
P00053-D002,P00053,U011,field,operational,2025-02-24,2025-10-30,False
P00053-D003,P00053,U011,field,operational,2023-10-28,2025-02-23,False
P00053-D004,P00053,U011,field,operational,2023-06-09,2023-10-27,False
P00053-D005,P00053,U011,static_station,static,2023-01-26,2023-06-08,False
P00053-D006,P00053,U011,field,static,2021-04-08,2023-01-25,False
P00053-D007,P00053,U011,field,operational,2019-02-05,2021-04-07,False
P00053-D008,P00053,U011,static_station,operational,2018-01-02,2019-02-04,False
P00054-D001,P00054,U009,static_station,static,2023-09-13,,True
P00054-D002,P00054,U009,hard_area,training,2022-12-01,2023-09-12,False
P00054-D003,P00054,U009,field,training,2021-11-22,2022-11-30,False
P00055-D001,P00055,U015,hard_area,operational,2025-11-10,,True
P00055-D002,P00055,U015,hard_area,static,2025-05-16,2025-11-09,False
P00055-D003,P00055,U015,hard_area,training,2024-01-01,2025-05-15,False
P00055-D004,P00055,U015,static_station,operational,2022-09-15,2023-12-31,False
P00055-D005,P00055,U015,static_station,training,2021-10-06,2022-09-14,False
P00055-D006,P00055,U015,static_station,static,2021-06-05,2021-10-05,False
P00055-D007,P00055,U015,field,operational,2020-02-22,2021-06-04,False
P00055-D008,P00055,U015,field,static,2019-02-22,2020-02-21,False
P00056-D001,P00056,U004,field,static,2024-07-19,,True
P00056-D002,P00056,U004,hard_area,training,2022-08-08,2024-07-18,False
P00056-D003,P00056,U004,static_station,static,2020-09-25,2022-08-07,False
P00056-D004,P00056,U004,field,operational,2020-03-11,2020-09-24,False
P00057-D001,P00057,U012,hard_area,operational,2024-05-01,,True
P00057-D002,P00057,U012,hard_area,operational,2022-12-24,2024-04-30,False
P00057-D003,P00057,U012,field,static,2022-07-07,2022-12-23,False
P00057-D004,P00057,U012,static_station,operational,2021-10-03,2022-07-06,False
P00058-D001,P00058,U013,field,operational,2023-07-03,,True
P00058-D002,P00058,U013,hard_area,operational,2022-05-17,2023-07-02,False
P00058-D003,P00058,U013,hard_area,training,2021-03-15,2022-05-16,False
P00058-D004,P00058,U013,hard_area,static,2020-08-13,2021-03-14,False
P00058-D005,P00058,U013,hard_area,static,2018-08-21,2020-08-12,False
P00058-D006,P00058,U013,field,operational,2017-11-08,2018-08-20,False
P00059-D001,P00059,U009,static_station,static,2026-06-01,,True
P00059-D002,P00059,U009,hard_area,static,2023-12-22,2026-05-31,False
P00059-D003,P00059,U009,field,static,2022-08-14,2023-12-21,False
P00060-D001,P00060,U012,hard_area,operational,2025-07-07,,True
P00060-D002,P00060,U012,static_station,operational,2025-03-06,2025-07-06,False
P00060-D003,P00060,U012,hard_area,operational,2023-10-17,2025-03-05,False
P00060-D004,P00060,U012,hard_area,static,2022-02-02,2023-10-16,False
P00060-D005,P00060,U012,field,operational,2020-09-16,2022-02-01,False
P00060-D006,P00060,U012,static_station,training,2019-10-24,2020-09-15,False
P00060-D007,P00060,U012,hard_area,operational,2018-07-09,2019-10-23,False
P00060-D008,P00060,U012,static_station,training,2017-01-14,2018-07-08,False
P00061-D001,P00061,U016,field,operational,2024-04-11,,True
P00061-D002,P00061,U016,static_station,operational,2023-05-15,2024-04-10,False
P00062-D001,P00062,U005,field,operational,2026-06-14,,True
P00062-D002,P00062,U005,field,static,2024-12-05,2026-06-13,False
P00062-D003,P00062,U005,hard_area,static,2023-08-10,2024-12-04,False
P00062-D004,P00062,U005,static_station,training,2023-04-09,2023-08-09,False
P00062-D005,P00062,U005,hard_area,operational,2022-02-10,2023-04-08,False
P00062-D006,P00062,U005,hard_area,static,2021-01-25,2022-02-09,False
P00062-D007,P00062,U005,hard_area,operational,2019-10-27,2021-01-24,False
P00062-D008,P00062,U005,static_station,training,2019-04-07,2019-10-26,False
P00063-D001,P00063,U015,field,operational,2025-12-03,,True
P00063-D002,P00063,U015,field,operational,2023-04-24,2025-12-02,False
P00063-D003,P00063,U015,field,operational,2021-07-15,2023-04-23,False
P00063-D004,P00063,U015,field,training,2021-02-26,2021-07-14,False
P00063-D005,P00063,U015,hard_area,training,2019-10-20,2021-02-25,False
P00063-D006,P00063,U015,hard_area,static,2019-02-27,2019-10-19,False
P00063-D007,P00063,U015,hard_area,training,2017-04-02,2019-02-26,False
P00063-D008,P00063,U015,field,training,2016-03-09,2017-04-01,False
P00064-D001,P00064,U004,static_station,static,2024-11-13,,True
P00064-D002,P00064,U004,field,operational,2024-07-13,2024-11-12,False
P00064-D003,P00064,U004,field,static,2023-12-05,2024-07-12,False
P00064-D004,P00064,U004,field,operational,2023-02-09,2023-12-04,False
P00064-D005,P00064,U004,hard_area,training,2022-01-25,2023-02-08,False
P00064-D006,P00064,U004,hard_area,training,2020-06-02,2022-01-24,False
P00064-D007,P00064,U004,static_station,static,2019-01-03,2020-06-01,False
P00064-D008,P00064,U004,hard_area,static,2017-11-25,2019-01-02,False
P00065-D001,P00065,U016,field,operational,2024-09-28,,True
P00065-D002,P00065,U016,hard_area,training,2024-04-25,2024-09-27,False
P00066-D001,P00066,U003,static_station,static,2024-10-29,,True
P00066-D002,P00066,U003,static_station,static,2023-03-29,2024-10-28,False
P00066-D003,P00066,U003,field,training,2021-06-26,2023-03-28,False
P00066-D004,P00066,U003,hard_area,training,2021-01-22,2021-06-25,False
P00066-D005,P00066,U003,hard_area,training,2019-08-04,2021-01-21,False
P00066-D006,P00066,U003,static_station,static,2017-12-01,2019-08-03,False
P00066-D007,P00066,U003,hard_area,operational,2017-07-18,2017-11-30,False
P00067-D001,P00067,U010,hard_area,operational,2026-03-02,,True
P00067-D002,P00067,U010,field,training,2025-03-30,2026-03-01,False
P00068-D001,P00068,U014,static_station,static,2026-06-17,,True
P00068-D002,P00068,U014,static_station,operational,2025-08-21,2026-06-16,False
P00068-D003,P00068,U014,field,training,2024-07-29,2025-08-20,False
P00068-D004,P00068,U014,field,training,2023-12-27,2024-07-28,False
P00069-D001,P00069,U001,field,operational,2026-07-21,,True
P00069-D002,P00069,U001,field,operational,2025-01-03,2026-07-20,False
P00069-D003,P00069,U001,field,training,2023-09-13,2025-01-02,False
P00069-D004,P00069,U001,static_station,training,2022-03-22,2023-09-12,False
P00069-D005,P00069,U001,field,training,2021-05-28,2022-03-21,False
P00069-D006,P00069,U001,field,operational,2019-07-31,2021-05-27,False
P00069-D007,P00069,U001,field,training,2018-01-25,2019-07-30,False
P00069-D008,P00069,U001,static_station,static,2016-04-19,2018-01-24,False
P00070-D001,P00070,U006,static_station,operational,2025-08-03,,True
P00070-D002,P00070,U006,hard_area,training,2023-09-07,2025-08-02,False
P00070-D003,P00070,U006,static_station,static,2023-02-23,2023-09-06,False
P00070-D004,P00070,U006,hard_area,operational,2022-04-02,2023-02-22,False
P00070-D005,P00070,U006,static_station,operational,2021-03-19,2022-04-01,False
P00071-D001,P00071,U010,hard_area,operational,2025-04-29,,True
P00071-D002,P00071,U010,field,operational,2023-11-05,2025-04-28,False
P00071-D003,P00071,U010,static_station,training,2022-05-25,2023-11-04,False
P00071-D004,P00071,U010,field,training,2021-10-04,2022-05-24,False
P00071-D005,P00071,U010,field,operational,2020-12-26,2021-10-03,False
P00071-D006,P00071,U010,field,training,2020-03-24,2020-12-25,False
P00071-D007,P00071,U010,field,training,2019-03-17,2020-03-23,False
P00071-D008,P00071,U010,field,operational,2017-11-12,2019-03-16,False
P00072-D001,P00072,U010,hard_area,operational,2026-04-11,,True
P00072-D002,P00072,U010,field,operational,2024-06-09,2026-04-10,False
P00072-D003,P00072,U010,static_station,static,2023-10-30,2024-06-08,False
P00073-D001,P00073,U016,field,operational,2025-07-09,,True
P00073-D002,P00073,U016,hard_area,training,2025-02-14,2025-07-08,False
P00073-D003,P00073,U016,field,operational,2023-12-30,2025-02-13,False
P00074-D001,P00074,U005,field,operational,2025-05-16,,True
P00074-D002,P00074,U005,hard_area,operational,2024-09-19,2025-05-15,False
P00075-D001,P00075,U015,hard_area,operational,2023-06-02,,True
